kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\distribution_matching\budget_50\seed_2\mlp\metrics.json,adult,distribution_matching,budget_50,seed_2,mlp,0.23475,0.4989373007438895,sklearn_mlp,10.572313098496034,100,0.028528800000458432
downstream,adult\distribution_matching\budget_50\seed_2\random_forest\metrics.json,adult,distribution_matching,budget_50,seed_2,random_forest,0.79875,0.8508212035425162,sklearn_random_forest,0.4178504944294232,100,0.5469409000006635
downstream,adult\distribution_matching\budget_50\seed_2\xgboost\metrics.json,adult,distribution_matching,budget_50,seed_2,xgboost,0.732,0.8462327328740925,xgboost,0.6090237867251773,100,0.03559609999956592
downstream,adult\full_data\budget_10\seed_0\catboost\metrics.json,adult,full_data,budget_10,seed_0,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,1.805825200000072
downstream,adult\full_data\budget_10\seed_0\lightgbm\metrics.json,adult,full_data,budget_10,seed_0,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.23946979999982432
downstream,adult\full_data\budget_10\seed_0\mlp\metrics.json,adult,full_data,budget_10,seed_0,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,4.212666899999931
downstream,adult\full_data\budget_10\seed_0\random_forest\metrics.json,adult,full_data,budget_10,seed_0,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.082435999999689
downstream,adult\full_data\budget_10\seed_0\xgboost\metrics.json,adult,full_data,budget_10,seed_0,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.2636712000003172
downstream,adult\full_data\budget_10\seed_1\catboost\metrics.json,adult,full_data,budget_10,seed_1,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,2.0669998000003034
downstream,adult\full_data\budget_10\seed_1\lightgbm\metrics.json,adult,full_data,budget_10,seed_1,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.23919080000086979
downstream,adult\full_data\budget_10\seed_1\mlp\metrics.json,adult,full_data,budget_10,seed_1,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,3.712715399999979
downstream,adult\full_data\budget_10\seed_1\random_forest\metrics.json,adult,full_data,budget_10,seed_1,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.136000800000147
downstream,adult\full_data\budget_10\seed_1\xgboost\metrics.json,adult,full_data,budget_10,seed_1,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.24766300000010233
downstream,adult\full_data\budget_10\seed_2\catboost\metrics.json,adult,full_data,budget_10,seed_2,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,2.231549700000869
downstream,adult\full_data\budget_10\seed_2\lightgbm\metrics.json,adult,full_data,budget_10,seed_2,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.27173099999981787
downstream,adult\full_data\budget_10\seed_2\mlp\metrics.json,adult,full_data,budget_10,seed_2,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,3.9102287999994587
downstream,adult\full_data\budget_10\seed_2\random_forest\metrics.json,adult,full_data,budget_10,seed_2,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.287688400000661
downstream,adult\full_data\budget_10\seed_2\xgboost\metrics.json,adult,full_data,budget_10,seed_2,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.25758589999986725
downstream,adult\full_data\budget_100\seed_0\catboost\metrics.json,adult,full_data,budget_100,seed_0,catboost,0.87125,0.9224806228480689,sklearn_hist_gradient_boosting,0.28654715509452977,12000,2.48241599999983
downstream,adult\full_data\budget_100\seed_0\lightgbm\metrics.json,adult,full_data,budget_100,seed_0,lightgbm,0.86675,0.9201377513922959,lightgbm,0.2932377069747456,12000,0.2648499000006268
downstream,adult\full_data\budget_100\seed_0\mlp\metrics.json,adult,full_data,budget_100,seed_0,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,3.765312000000449
