kind,path,dataset,method,budget,seed,backend,gain_rank_correlation,root_agreement,top5_overlap,train_seconds
split_fidelity,adult\gain_weighted_coreset\budget_50\seed_2\split_fidelity.json,adult,gain_weighted_coreset,budget_50,seed_2,xgboost,0.4380901650731351,0.0,0.2,0.052958899999794085
split_fidelity,adult\gradient_sampling\budget_10\seed_0\split_fidelity.json,adult,gradient_sampling,budget_10,seed_0,xgboost,0.48715934557886176,0.0,0.2,0.021980900000016845
split_fidelity,adult\gradient_sampling\budget_10\seed_1\split_fidelity.json,adult,gradient_sampling,budget_10,seed_1,xgboost,0.4156237928183012,0.0,0.0,0.0242115000000922
split_fidelity,adult\gradient_sampling\budget_10\seed_2\split_fidelity.json,adult,gradient_sampling,budget_10,seed_2,xgboost,0.32888835327650556,0.0,0.0,0.03722620000007737
split_fidelity,adult\gradient_sampling\budget_100\seed_0\split_fidelity.json,adult,gradient_sampling,budget_100,seed_0,xgboost,0.28869541943808114,0.0,0.0,0.03873050000038347
split_fidelity,adult\gradient_sampling\budget_100\seed_1\split_fidelity.json,adult,gradient_sampling,budget_100,seed_1,xgboost,0.3264295167784235,0.0,0.0,0.05422490000000835
split_fidelity,adult\gradient_sampling\budget_100\seed_2\split_fidelity.json,adult,gradient_sampling,budget_100,seed_2,xgboost,0.2098205092939612,0.0,0.0,0.04696140000032756
split_fidelity,adult\gradient_sampling\budget_25\seed_0\split_fidelity.json,adult,gradient_sampling,budget_25,seed_0,xgboost,0.3032911558790731,0.0,0.0,0.04017999999996391
split_fidelity,adult\gradient_sampling\budget_25\seed_1\split_fidelity.json,adult,gradient_sampling,budget_25,seed_1,xgboost,0.4109881363653077,0.0,0.0,0.027492100000017672
split_fidelity,adult\gradient_sampling\budget_25\seed_2\split_fidelity.json,adult,gradient_sampling,budget_25,seed_2,xgboost,0.268556224885401,0.0,0.0,0.024132399999871268
split_fidelity,adult\gradient_sampling\budget_50\seed_0\split_fidelity.json,adult,gradient_sampling,budget_50,seed_0,xgboost,0.340668764618323,0.0,0.0,0.03421749999961321
split_fidelity,adult\gradient_sampling\budget_50\seed_1\split_fidelity.json,adult,gradient_sampling,budget_50,seed_1,xgboost,0.3926280962945825,0.0,0.0,0.03071789999921748
split_fidelity,adult\gradient_sampling\budget_50\seed_2\split_fidelity.json,adult,gradient_sampling,budget_50,seed_2,xgboost,0.29029113702721715,0.0,0.0,0.03865160000077594
split_fidelity,adult\herding\budget_10\seed_0\split_fidelity.json,adult,herding,budget_10,seed_0,xgboost,0.07477916412098384,0.0,0.2,0.035601499999756925
split_fidelity,adult\herding\budget_10\seed_1\split_fidelity.json,adult,herding,budget_10,seed_1,xgboost,0.47789154143373835,0.0,0.2,0.022459399999206653
split_fidelity,adult\herding\budget_10\seed_2\split_fidelity.json,adult,herding,budget_10,seed_2,xgboost,0.5456237650752382,0.0,0.2,0.023830100002669496
split_fidelity,adult\herding\budget_100\seed_0\split_fidelity.json,adult,herding,budget_100,seed_0,xgboost,0.1953200735922764,0.0,0.0,0.03950009999971371
split_fidelity,adult\herding\budget_100\seed_1\split_fidelity.json,adult,herding,budget_100,seed_1,xgboost,0.5251357091067375,0.0,0.2,0.03382200000123703
split_fidelity,adult\herding\budget_100\seed_2\split_fidelity.json,adult,herding,budget_100,seed_2,xgboost,0.5017103402751872,0.0,0.2,0.03217900000163354
split_fidelity,adult\herding\budget_25\seed_0\split_fidelity.json,adult,herding,budget_25,seed_0,xgboost,0.4728017002301462,0.0,0.0,0.020484300010139123
split_fidelity,adult\herding\budget_25\seed_1\split_fidelity.json,adult,herding,budget_25,seed_1,xgboost,0.4845560210768552,0.0,0.0,0.022919399998500012
split_fidelity,adult\herding\budget_25\seed_2\split_fidelity.json,adult,herding,budget_25,seed_2,xgboost,0.49967322268356407,0.0,0.0,0.02520939998794347
