dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
credit_approval,gain_herding,budget_100,lightgbm,0.9694131005606416,0.005111122725152497,0.9009661835748792,0.032659399999829475
credit_approval,gain_herding,budget_100,mlp,0.8105883187850401,0.05898931111045046,0.6884057971014492,0.5586922333325978
credit_approval,gain_herding,budget_100,random_forest,0.9681356894471649,0.005323965462638924,0.9202898550724637,0.6059444666661875
credit_approval,gain_herding,budget_100,xgboost,0.9728195301965794,0.004487804060396628,0.9106280193236715,0.040805033334133135
credit_approval,gain_herding,budget_25,catboost,0.901781278830459,0.009295630681618004,0.859903381642512,0.13688073332984155
credit_approval,gain_herding,budget_25,lightgbm,0.9198779362713788,0.013929352147833762,0.8574879227053139,0.021909000002779067
credit_approval,gain_herding,budget_25,mlp,0.5833155915123128,0.025630220527316328,0.6014492753623188,0.03226079999876674
credit_approval,gain_herding,budget_25,random_forest,0.9529486906536087,0.0063013193898015275,0.8864734299516908,0.5423911333346041
credit_approval,gain_herding,budget_25,xgboost,0.9224327584983323,0.01221235410376555,0.8502415458937197,0.029136666664271615
credit_approval,gain_herding,budget_50,catboost,0.938826201121283,0.00693267190031709,0.8647342995169082,0.48317553332890384
credit_approval,gain_herding,budget_50,lightgbm,0.9437229437229436,0.010675564929897388,0.8671497584541062,0.026515966669345897
credit_approval,gain_herding,budget_50,mlp,0.6439216521183734,0.06979406892421863,0.6618357487922705,0.41293299999961164
credit_approval,gain_herding,budget_50,random_forest,0.959051877084664,0.0012291894170526466,0.9130434782608695,0.5739466666709632
credit_approval,gain_herding,budget_50,xgboost,0.9566389894258748,0.007898438735815517,0.8840579710144928,0.029937699999815475
credit_approval,gain_path_herding,budget_10,catboost,0.5,0.0,0.5579710144927537,0.13311249999969732
credit_approval,gain_path_herding,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.006360400000024431
credit_approval,gain_path_herding,budget_10,mlp,0.6476119508906394,0.04967100290061091,0.6400966183574879,0.26662416666719463
credit_approval,gain_path_herding,budget_10,random_forest,0.9358455751898376,0.008174802745940379,0.8913043478260869,0.5540046666665148
credit_approval,gain_path_herding,budget_10,xgboost,0.9289972322759207,0.016133901272661937,0.8695652173913043,0.02290059999965403
credit_approval,gain_path_herding,budget_100,catboost,0.9677098857426727,0.009155604810372689,0.8913043478260869,0.7206148333328505
credit_approval,gain_path_herding,budget_100,lightgbm,0.9696260024128877,0.009842729939726583,0.8961352657004831,0.03093283333328145
credit_approval,gain_path_herding,budget_100,mlp,0.6153573202753531,0.11772145728240913,0.6690821256038647,0.41409403333273076
credit_approval,gain_path_herding,budget_100,random_forest,0.9660776382087857,0.0025399943464868967,0.9202898550724637,0.5993713333330865
credit_approval,gain_path_herding,budget_100,xgboost,0.9760130579802712,0.002906194766793511,0.9009661835748792,0.046680466666657594
credit_approval,gain_path_herding,budget_25,catboost,0.9206940600383223,0.017583102412931276,0.8743961352657005,0.4577165999993061
credit_approval,gain_path_herding,budget_25,lightgbm,0.9222908239301683,0.010025055176656908,0.8695652173913043,0.01780446666816715
credit_approval,gain_path_herding,budget_25,mlp,0.6114186360088,0.020260476021101412,0.6280193236714976,0.031692499998219624
credit_approval,gain_path_herding,budget_25,random_forest,0.9562841530054644,0.009182793617919746,0.8961352657004831,0.6153302333307996
credit_approval,gain_path_herding,budget_25,xgboost,0.9447164857000923,0.002778620672834008,0.8816425120772946,0.0316517999987506
credit_approval,gain_path_herding,budget_50,catboost,0.9510325739833937,0.006482153437359374,0.8792270531400966,0.5755626333266264
credit_approval,gain_path_herding,budget_50,lightgbm,0.9547228727556596,0.0030729735426316524,0.893719806763285,0.027899233328450162
credit_approval,gain_path_herding,budget_50,mlp,0.5712866368604074,0.03286582197123316,0.6207729468599034,0.042547666671453044
credit_approval,gain_path_herding,budget_50,random_forest,0.9598325172095663,0.005285514493326384,0.9202898550724637,0.5841208333246565
credit_approval,gain_path_herding,budget_50,xgboost,0.9657937690724575,0.0010502198983002866,0.8985507246376812,0.04195579999941401
credit_approval,gain_path_refined,budget_25,catboost,0.9076360797672273,0.007290399010368316,0.8623188405797101,0.1250181333355916
credit_approval,gain_path_refined,budget_25,lightgbm,0.9161166702150308,0.0061769061428162235,0.8623188405797101,0.018028200002542388
credit_approval,gain_path_refined,budget_25,mlp,0.6423248882265277,0.08902047405703767,0.6545893719806763,0.28863080000155605
credit_approval,gain_path_refined,budget_25,random_forest,0.9531615925058547,0.0041556783683081135,0.893719806763285,0.5353276666719466
credit_approval,gain_path_refined,budget_25,xgboost,0.9373358881555603,0.005862859854466865,0.8792270531400966,0.028439633334831644
credit_approval,gain_path_refined,budget_50,catboost,0.942658434461713,0.014480978219905079,0.8888888888888888,0.16419666666479316
credit_approval,gain_path_refined,budget_50,lightgbm,0.9532325597899368,0.007570250207897433,0.888888888888889,0.01982820000072631
credit_approval,gain_path_refined,budget_50,mlp,0.5988574267262793,0.10421933479404037,0.6521739130434782,0.21108350000091983
credit_approval,gain_path_refined,budget_50,random_forest,0.9571357604144488,0.001368767406286674,0.9009661835748792,0.5294403666678894
credit_approval,gain_path_refined,budget_50,xgboost,0.9579873678234335,0.004227768365227811,0.893719806763285,0.031419766669084005
credit_approval,gain_path_safeguarded,budget_25,catboost,0.9076360797672273,0.007290399010368316,0.8623188405797101,0.11475963333699231
credit_approval,gain_path_safeguarded,budget_25,lightgbm,0.9161166702150308,0.0061769061428162235,0.8623188405797101,0.01662233333142164
credit_approval,gain_path_safeguarded,budget_25,mlp,0.6423248882265277,0.08902047405703767,0.6545893719806763,0.2784507333368917
credit_approval,gain_path_safeguarded,budget_25,random_forest,0.9531615925058547,0.0041556783683081135,0.893719806763285,0.5172947000003963
credit_approval,gain_path_safeguarded,budget_25,xgboost,0.9373358881555603,0.005862859854466865,0.8792270531400966,0.027629599998666283
credit_approval,gain_path_safeguarded,budget_50,catboost,0.942658434461713,0.014480978219905079,0.8888888888888888,0.2056321333317707
credit_approval,gain_path_safeguarded,budget_50,lightgbm,0.9532325597899368,0.007570250207897433,0.888888888888889,0.020777033336344175
credit_approval,gain_path_safeguarded,budget_50,mlp,0.5988574267262793,0.10421933479404037,0.6521739130434782,0.2316556000005221
credit_approval,gain_path_safeguarded,budget_50,random_forest,0.9571357604144488,0.001368767406286674,0.9009661835748792,0.5444094666648501
credit_approval,gain_path_safeguarded,budget_50,xgboost,0.9579873678234335,0.004227768365227811,0.893719806763285,0.02919863333227113
credit_approval,gain_weighted_coreset,budget_10,catboost,0.5,0.0,0.5579710144927537,0.33917950000007596
credit_approval,gain_weighted_coreset,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.006959433333880345
credit_approval,gain_weighted_coreset,budget_10,mlp,0.5889574905968348,0.06862414360227793,0.640096618357488,0.1471660666660076
credit_approval,gain_weighted_coreset,budget_10,random_forest,0.944077780143354,0.003627670972715,0.8768115942028986,0.539565100000497
credit_approval,gain_weighted_coreset,budget_10,xgboost,0.9468455042225533,0.00455298131639921,0.8574879227053142,0.027072299999417737
credit_approval,gain_weighted_coreset,budget_100,catboost,0.9540841671989213,0.006251972035834847,0.8816425120772946,1.1480867999992672
credit_approval,gain_weighted_coreset,budget_100,lightgbm,0.9642324888226529,0.0011853873457165277,0.8985507246376812,0.028685199999623972
credit_approval,gain_weighted_coreset,budget_100,mlp,0.5665318288269109,0.016543104118922132,0.6086956521739131,0.049305399999866495
credit_approval,gain_weighted_coreset,budget_100,random_forest,0.9671421474700163,0.005674277058446079,0.9106280193236715,0.5669501666658713
credit_approval,gain_weighted_coreset,budget_100,xgboost,0.9650840962316373,0.004822121206261978,0.9082125603864734,0.06599320000047253
credit_approval,gain_weighted_coreset,budget_25,catboost,0.9132070115676673,0.009940677562942013,0.8671497584541062,0.42914073333364894
credit_approval,gain_weighted_coreset,budget_25,lightgbm,0.9280036902987723,0.0038914086946708177,0.8695652173913043,0.017142633333908936
credit_approval,gain_weighted_coreset,budget_25,mlp,0.5709672840820382,0.04622475444504793,0.606280193236715,0.03377776666699598
credit_approval,gain_weighted_coreset,budget_25,random_forest,0.9574196295507771,0.001126570709416453,0.8864734299516908,0.5888225333328592
credit_approval,gain_weighted_coreset,budget_25,xgboost,0.9342133276559506,0.005724645373535751,0.8478260869565218,0.04047016666663694
credit_approval,gain_weighted_coreset,budget_50,catboost,0.9415939252004826,0.010675564929897314,0.8623188405797101,0.8343887333333745
credit_approval,gain_weighted_coreset,budget_50,lightgbm,0.9459938968135689,0.014899073831963927,0.8719806763285024,0.022086833333257044
credit_approval,gain_weighted_coreset,budget_50,mlp,0.5544319068909234,0.01620375190125356,0.5990338164251208,0.03801413333349046
credit_approval,gain_weighted_coreset,budget_50,random_forest,0.9557873820168902,0.006493797336518005,0.9009661835748792,0.5638456666662629
credit_approval,gain_weighted_coreset,budget_50,xgboost,0.9574196295507771,0.008363005893720413,0.8743961352657005,0.04342246666662201
credit_approval,gaindistill,budget_10,catboost,0.5,0.0,0.5579710144927537,0.15992110000024695
credit_approval,gaindistill,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.006270333333304734
credit_approval,gaindistill,budget_10,mlp,0.5237385565254418,0.07357538097168503,0.4830917874396135,0.1611454000003505
credit_approval,gaindistill,budget_10,random_forest,0.53899652260308,0.17856289590014374,0.48067632850241543,0.5606469999999414
credit_approval,gaindistill,budget_10,xgboost,0.531615925058548,0.18574112654173053,0.429951690821256,0.02504906666642152
credit_approval,gaindistill,budget_100,catboost,0.4931516570860833,0.03052420367405651,0.4468599033816425,0.5804301999999856
credit_approval,gaindistill,budget_100,lightgbm,0.5028741750053226,0.055008252134900106,0.4565217391304348,0.022958799999590458
credit_approval,gaindistill,budget_100,mlp,0.4494003264495068,0.0577720006750146,0.4275362318840579,0.7072195333336518
credit_approval,gaindistill,budget_100,random_forest,0.5875026612731531,0.14378044876357965,0.5434782608695652,0.5757125333329896
credit_approval,gaindistill,budget_100,xgboost,0.5677027890142644,0.12803940227731525,0.4492753623188406,0.02933269999963765
credit_approval,gaindistill,budget_25,catboost,0.5154353842878433,0.09139089445441796,0.5169082125603864,0.22153216666659623
