dataset,method,method_label,density_beta,budget,seed,mmd2,rows,mlp_auroc,xgboost_auroc,sld_inf_norm,sld_rank_correlation_direct
bank_marketing,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_2,0.011636546109527579,50,0.7241036031640495,0.8339307392944225,43.42022049527336,0.3988392217037672
bank_marketing,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_1,0.010531690040495145,50,0.7297302702994283,0.8363884476192958,8.7644654447845,0.3574304218275214
bank_marketing,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_0,0.007215407265896867,100,0.7198348880636591,0.8536521060832979,5.101306333911062,0.4315745631339783
bank_marketing,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_2,0.007944829285961297,100,0.7358060525688962,0.8524935587434717,15.956089629329847,0.4326265126205432
bank_marketing,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_1,0.006837696020336126,100,0.7505238161331126,0.8522353629983679,7.750363476378697,0.4302955724301533
bank_marketing,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_0,0.013171514176525845,50,0.6979385554735982,0.8427418206194153,9.241922935818618,0.3642182790744026
bank_marketing,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_2,0.011636546109527579,50,0.7241036031640495,0.8339307392944225,43.42022049527336,0.3988392217037672
bank_marketing,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_1,0.010531690112998926,50,0.7285435396212281,0.8363884476192958,8.76446544778192,0.3573755822738926
bank_marketing,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_0,0.007215407265896867,100,0.7198348880636591,0.8536521060832979,5.101306333911062,0.4315745631339783
bank_marketing,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_2,0.007944829285961297,100,0.7358060525688962,0.8524935587434717,15.956089629329847,0.4326265126205432
bank_marketing,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_1,0.006837696020336126,100,0.7505238161331126,0.8522353629983679,7.750363476378697,0.4302955724301533
bank_marketing,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_0,0.013171514176525845,50,0.6979385554735982,0.8427418206194153,9.241922935818618,0.3642182790744026
bank_marketing,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_2,0.011636546109527579,50,0.7241036031640495,0.8339307392944225,43.42022049527336,0.3988392217037672
bank_marketing,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_1,0.010531690112998926,50,0.7285435396212281,0.8363884476192958,8.76446544778192,0.3573755822738926
bank_marketing,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_0,0.00721541013429805,100,0.7277701645725133,0.8536521060832979,5.101304652478806,0.4316219897147773
bank_marketing,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_2,0.007944706154210501,100,0.7386919658090648,0.8520062597315856,15.955418885890763,0.4325427144539729
bank_marketing,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_1,0.007104367143471069,100,0.7413439270360643,0.8528920650871471,7.624751110431214,0.4365502669543529
bank_marketing,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_0,0.013171514176525845,50,0.6979385554735982,0.8427418206194153,9.241922935818618,0.3642182790744026
bank_marketing,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_2,0.011636546109527579,50,0.7241036031640495,0.8339307392944225,43.42022049527336,0.3988392217037672
bank_marketing,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_1,0.010531690040495145,50,0.7297302702994283,0.8363884476192958,8.7644654447845,0.3574304218275214
breast_w,histdistill_refined,beta=0.00,0.0,budget_50,seed_0,0.019139107327971305,100,0.9682971014492752,0.9882246376811594,9.029575137730356,0.0249685115210787
breast_w,histdistill_refined,beta=0.00,0.0,budget_50,seed_2,0.026453851717765375,100,0.987998188405797,0.9904891304347826,9.678530895660764,-0.0358877532870883
breast_w,histdistill_refined,beta=0.00,0.0,budget_50,seed_1,0.03664315597821055,100,0.9861865942028984,0.988677536231884,8.579212576223497,-0.004048721438485
breast_w,histdistill_refined,beta=0.00,0.0,budget_25,seed_0,0.013648751390233693,50,0.9676177536231884,0.9927536231884058,9.936365587917226,0.0123140299936464
breast_w,histdistill_refined,beta=0.00,0.0,budget_25,seed_2,0.01700266142980289,50,0.9361413043478262,0.990036231884058,9.816862704895344,-0.0258725663232497
breast_w,histdistill_refined,beta=0.00,0.0,budget_25,seed_1,0.014354361778470048,50,0.9465579710144928,0.9902626811594204,9.98478225928928,-0.0732594720284502
breast_w,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_0,0.017779972832809743,100,0.9764492753623188,0.9877717391304348,8.715021969505651,0.0142698377417203
breast_w,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_2,0.022189566676800054,100,0.9893568840579712,0.989356884057971,9.482580449702374,-0.0194420501032987
breast_w,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_1,0.029479462097452558,100,0.9789402173913042,0.9909420289855072,9.44584485162734,-0.0401860210641499
breast_w,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_0,0.014168279942096351,50,0.9603713768115943,0.992074275362319,9.945115548442637,0.0200045936479792
breast_w,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_2,0.0169679122421027,50,0.936141304347826,0.9898097826086956,9.826917049780874,-0.0226983540614866
breast_w,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_1,0.01447731779272765,50,0.945878623188406,0.988677536231884,10.04362271326686,-0.0766789768841471
breast_w,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_0,0.016318733294254595,100,0.9680706521739127,0.9870923913043478,8.46788854603306,0.0321997480921686
breast_w,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_2,0.02356438559989127,100,0.9884510869565216,0.9904891304347826,9.63508601407042,-0.0246138269780678
breast_w,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_1,0.029479462097452558,100,0.9789402173913042,0.9909420289855072,9.44584485162734,-0.0401860210641499
breast_w,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_0,0.014325204026482297,50,0.9601449275362318,0.9923007246376812,9.81077255157899,0.0194564637565075
breast_w,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_2,0.0169679122421027,50,0.936141304347826,0.9898097826086956,9.826917049780874,-0.0226983540614866
breast_w,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_1,0.014507825075325775,50,0.9456521739130436,0.989356884057971,10.050807076013273,-0.0785665435644918
breast_w,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_0,0.016318733294254595,100,0.9680706521739127,0.9870923913043478,8.46788854603306,0.0321997480921686
breast_w,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_2,0.02356438559989127,100,0.9884510869565216,0.9904891304347826,9.63508601407042,-0.0246138269780678
breast_w,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_1,0.029479462097452558,100,0.9789402173913042,0.9909420289855072,9.44584485162734,-0.0401860210641499
breast_w,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_0,0.014325204026482297,50,0.9601449275362318,0.9923007246376812,9.81077255157899,0.0194564637565075
breast_w,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_2,0.0169679122421027,50,0.936141304347826,0.9898097826086956,9.826917049780874,-0.0226983540614866
