dataset,method,method_label,budget,seed,learner,deployed_r2,leaf_refit_r2,leaf_estimate_recovery,leaf_population_l1,train_rows,status,full_deployed_r2,structure_ref_r2,structure_error,total_gap
kin8nm,histdistill,HistDistill,budget_50,seed_1,lightgbm,0.32626953657834035,0.33377372535680794,0.007504188778467591,0.02193604279318564,50,ok,0.6120804992342821,0.61208049957578,0.2783067742189721,0.2858109629974397
kin8nm,random,Random,budget_25,seed_1,xgboost,0.13312314856227336,0.43018411875354334,0.29706097019127,0.23364319630986297,25,ok,0.6109282417525139,0.608549350200619,0.1783652314470756,0.4754262016383456
kin8nm,random,Random,budget_25,seed_1,lightgbm,-0.001259360704845891,-4.139301304317833e-05,0.0012179676918027127,0.0,25,ok,0.6120804992342821,0.61208049957578,0.6121218925888232,0.6133398602806259
kin8nm,random,Random,budget_50,seed_1,xgboost,0.23555523903353637,0.4296937638983912,0.19413852486485483,0.16067155067155067,50,ok,0.6109282417525139,0.608549350200619,0.17885558630222775,0.3729941111670826
kin8nm,random,Random,budget_50,seed_1,lightgbm,0.23177613609072745,0.32453752730311924,0.0927613912123918,0.05094581080295367,50,ok,0.6120804992342821,0.61208049957578,0.2875429722726608,0.3803043634850526
kin8nm,herding,Herding,budget_25,seed_1,xgboost,0.1323130366167421,0.4273980588855144,0.2950850222687723,0.279796160629494,25,ok,0.6109282417525139,0.608549350200619,0.18115129131510455,0.47623631358387686
kin8nm,herding,Herding,budget_25,seed_1,lightgbm,-0.08458038130274503,-4.139301304317833e-05,0.08453898828970186,0.0,25,ok,0.6120804992342821,0.61208049957578,0.6121218925888232,0.6966608808785251
kin8nm,herding,Herding,budget_50,seed_1,xgboost,0.40226882179603995,0.4599304100283266,0.05766158823228662,0.295296567629901,50,ok,0.6109282417525139,0.608549350200619,0.14861894017229238,0.206280528404579
kin8nm,herding,Herding,budget_50,seed_1,lightgbm,0.2617268556080212,0.3039044196538757,0.04217756404585449,0.0375574161288447,50,ok,0.6120804992342821,0.61208049957578,0.3081760799219043,0.3503536439677588
kin8nm,k_center,K-center,budget_25,seed_1,xgboost,-0.04714160268137957,0.39111311322143283,0.4382547159028124,0.21726990910324243,25,ok,0.6109282417525139,0.608549350200619,0.21743623697918613,0.6556909528819985
kin8nm,k_center,K-center,budget_25,seed_1,lightgbm,-0.07976037009807224,-4.139301304317833e-05,0.07971897708502906,0.0,25,ok,0.6120804992342821,0.61208049957578,0.6121218925888232,0.6918408696738523
kin8nm,k_center,K-center,budget_50,seed_1,xgboost,0.13393319605485987,0.40505303198404286,0.271119835929183,0.2485053588386922,50,ok,0.6109282417525139,0.608549350200619,0.2034963182165761,0.4746161541457591
kin8nm,k_center,K-center,budget_50,seed_1,lightgbm,0.16015904912423617,0.2511745393959328,0.09101549027169664,0.10357799872085587,50,ok,0.6120804992342821,0.61208049957578,0.3609059601798472,0.45192145045154386
