dataset,seed,state,depth,dose_ratio,epsilon,margin,agreement,split_regret_norm
australian,seed_1,probe_depth_1,1,0.49,12.625649090605913,25.766630797154924,1.0,0.0
australian,seed_1,probe_depth_1,1,0.5,12.883315398577462,25.766630797154924,1.0,0.0
australian,seed_1,probe_depth_1,1,0.75,19.32497309786619,25.766630797154924,0.8125,0.15136688150199792
australian,seed_1,probe_depth_1,1,1.0,25.766630797154924,25.766630797154924,0.5625,0.3620040209859041
australian,seed_1,probe_depth_1,1,1.5,38.64994619573238,25.766630797154924,0.4375,0.4705716331305807
australian,seed_1,probe_depth_1,1,2.0,51.53326159430985,25.766630797154924,0.25,0.6276603864394116
australian,seed_1,probe_depth_2,2,0.0,0.0,8.499311778826797,1.0,0.0
australian,seed_1,probe_depth_2,2,0.25,2.1248279447066993,8.499311778826797,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,4.164662771625131,8.499311778826797,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,4.249655889413399,8.499311778826797,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,6.374483834120098,8.499311778826797,0.78125,0.1695195527302613
australian,seed_1,probe_depth_2,2,1.0,8.499311778826797,8.499311778826797,0.625,0.291720352750212
australian,seed_1,probe_depth_2,2,1.5,12.748967668240196,8.499311778826797,0.40625,0.4796410713828364
australian,seed_1,probe_depth_2,2,2.0,16.998623557653595,8.499311778826797,0.25,0.6339450493944261
australian,seed_1,probe_depth_2,2,0.0,0.0,9.384923042689351,1.0,0.0
australian,seed_1,probe_depth_2,2,0.25,2.346230760672338,9.384923042689351,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,4.5986122909177825,9.384923042689351,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,4.692461521344676,9.384923042689351,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,7.0386922820170135,9.384923042689351,0.84375,0.1123171891533564
australian,seed_1,probe_depth_2,2,1.0,9.384923042689351,9.384923042689351,0.6953125,0.22853231982376965
australian,seed_1,probe_depth_2,2,1.5,14.077384564034027,9.384923042689351,0.4921875,0.3888026356630454
australian,seed_1,probe_depth_2,2,2.0,18.769846085378703,9.384923042689351,0.3046875,0.5548913064820072
australian,seed_1,probe_depth_1,1,0.0,0.0,3.1203636208015197,1.0,0.0
australian,seed_1,probe_depth_1,1,0.25,0.7800909052003799,3.1203636208015197,1.0,0.0
australian,seed_1,probe_depth_1,1,0.49,1.5289781741927446,3.1203636208015197,1.0,0.0
australian,seed_1,probe_depth_1,1,0.5,1.5601818104007599,3.1203636208015197,1.0,0.0
australian,seed_1,probe_depth_1,1,0.75,2.34027271560114,3.1203636208015197,0.8203125,0.12025764103938238
australian,seed_1,probe_depth_1,1,1.0,3.1203636208015197,3.1203636208015197,0.7421875,0.1807421636531332
australian,seed_1,probe_depth_1,1,1.5,4.68054543120228,3.1203636208015197,0.421875,0.427466231721727
australian,seed_1,probe_depth_1,1,2.0,6.2407272416030395,3.1203636208015197,0.3984375,0.4706138988542254
australian,seed_1,probe_depth_2,2,0.0,0.0,0.6275163735538918,1.0,0.0
australian,seed_1,probe_depth_2,2,0.25,0.15687909338847295,0.6275163735538918,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,0.30748302304140696,0.6275163735538918,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,0.3137581867769459,0.6275163735538918,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,0.47063728016541884,0.6275163735538918,0.9453125,0.013584882325793721
australian,seed_1,probe_depth_2,2,1.0,0.6275163735538918,0.6275163735538918,0.890625,0.02901469677212023
australian,seed_1,probe_depth_2,2,1.5,0.9412745603308377,0.6275163735538918,0.6796875,0.09990103826478144
australian,seed_1,probe_depth_2,2,2.0,1.2550327471077836,0.6275163735538918,0.5703125,0.13619441705322538
australian,seed_1,probe_depth_0,0,0.0,0.0,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_0,0,0.25,6.518560401759806,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_0,0,0.49,12.776378387449219,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_0,0,0.5,13.037120803519612,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_0,0,0.75,19.555681205279416,26.074241607039223,0.8046875,0.1362351866523535
australian,seed_1,probe_depth_0,0,1.0,26.074241607039223,26.074241607039223,0.59375,0.2901637185418049
australian,seed_1,probe_depth_0,0,1.5,39.11136241055883,26.074241607039223,0.4375,0.4118045378463042
australian,seed_1,probe_depth_0,0,2.0,52.148483214078446,26.074241607039223,0.359375,0.48347429605258607
australian,seed_1,probe_depth_1,1,0.0,0.0,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_1,1,0.25,6.518560401759806,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_1,1,0.49,12.776378387449219,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_1,1,0.5,13.037120803519612,26.074241607039223,1.0,0.0
australian,seed_1,probe_depth_1,1,0.75,19.555681205279416,26.074241607039223,0.7890625,0.14666511053568737
australian,seed_1,probe_depth_1,1,1.0,26.074241607039223,26.074241607039223,0.578125,0.30570926490865497
australian,seed_1,probe_depth_1,1,1.5,39.11136241055883,26.074241607039223,0.3515625,0.47753745934673425
australian,seed_1,probe_depth_1,1,2.0,52.148483214078446,26.074241607039223,0.265625,0.5523145362453896
australian,seed_1,probe_depth_2,2,0.0,0.0,26.208849098162,1.0,0.0
australian,seed_1,probe_depth_2,2,0.25,6.5522122745405,26.208849098162,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,12.842336058099379,26.208849098162,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,13.104424549081,26.208849098162,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,19.656636823621497,26.208849098162,0.8046875,0.13520421089879822
australian,seed_1,probe_depth_2,2,1.0,26.208849098162,26.208849098162,0.6484375,0.2578296844921203
australian,seed_1,probe_depth_2,2,1.5,39.313273647242994,26.208849098162,0.421875,0.42668529001114697
australian,seed_1,probe_depth_2,2,2.0,52.417698196324,26.208849098162,0.3203125,0.5170612726777424
