task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,r2,mae,rmse
regression,abalone,k_center,K-center,budget_25,seed_0,lightgbm,25,0.029821999998603133,0.004402200000185985,-0.05247700785799814,-0.05247700785799814,2.433684210526316,3.3808619834586815
regression,abalone,k_center,K-center,budget_25,seed_0,mlp,25,0.026008900000306312,0.230184800000643,-0.36849449379322596,-0.36849449379322596,2.7449921449405723,3.855162249189553
regression,abalone,k_center,K-center,budget_50,seed_0,xgboost,50,0.03904399999919406,0.04832259999966482,-0.05823516731603684,-0.05823516731603684,2.54510564724224,3.390097808970226
regression,abalone,k_center,K-center,budget_50,seed_0,lightgbm,50,0.04180670000096143,0.011386300000594929,0.1693740615304058,0.1693740615304058,2.202161201820153,3.0034740077949027
regression,abalone,k_center,K-center,budget_50,seed_0,mlp,50,0.04101679999985208,0.2854557999999088,0.1134547842053365,0.1134547842053365,2.34248615451977,3.1029271446190134
regression,abalone,full_data,Full data,budget_25,seed_0,xgboost,2505,2.1899999410379678e-05,0.11185529999966093,0.5453953145788566,0.5453953145788566,1.550366008966163,2.2219694687242706
regression,abalone,full_data,Full data,budget_25,seed_0,lightgbm,2505,2.8200000087963417e-05,0.061628199999177014,0.5593941269239902,0.5593941269239902,1.5312845428482833,2.187490997141395
regression,abalone,full_data,Full data,budget_25,seed_0,mlp,2505,1.5999999959603883e-05,6.19129360000079,0.5526400048328144,0.5526400048328144,1.516697340034412,2.2041934420150673
regression,abalone,full_data,Full data,budget_50,seed_0,xgboost,2505,1.5100000382517464e-05,0.13799069999913627,0.5453953145788566,0.5453953145788566,1.550366008966163,2.2219694687242706
regression,abalone,full_data,Full data,budget_50,seed_0,lightgbm,2505,2.5299999833805487e-05,0.05905140000140818,0.5593941269239902,0.5593941269239902,1.5312845428482833,2.187490997141395
regression,abalone,full_data,Full data,budget_50,seed_0,mlp,2505,2.5499999537714757e-05,6.180804999999964,0.5526400048328144,0.5526400048328144,1.516697340034412,2.2041934420150673
regression,cpu_act,histdistill,HistDistill,budget_25,seed_0,xgboost,25,0.38555950000045414,0.037314100000003236,0.11296186941431896,0.11296186941431896,7.450423153236627,17.48521245013839
regression,cpu_act,histdistill,HistDistill,budget_25,seed_0,lightgbm,25,0.38285390000055486,0.004512999999860767,-0.03335403322020314,-0.03335403322020314,12.27038438071995,18.872278568118215
regression,cpu_act,histdistill,HistDistill,budget_25,seed_0,mlp,25,0.39059199999974226,0.04990679999900749,0.35882958207609095,0.35882958207609095,7.115857341363708,14.865739131183846
regression,cpu_act,histdistill,HistDistill,budget_50,seed_0,xgboost,50,0.3910782000002655,0.049087900000813534,0.4244978918186074,0.4244978918186074,5.655719355594246,14.083909587138423
regression,cpu_act,histdistill,HistDistill,budget_50,seed_0,lightgbm,50,0.39746310000009544,0.015111299999261973,0.25250280614434106,0.25250280614434106,6.959997147631844,16.05109082837161
regression,cpu_act,histdistill,HistDistill,budget_50,seed_0,mlp,50,0.3879971000005753,0.0843855999992229,0.3828794774545191,0.3828794774545191,5.561702549057519,14.584272275168097
regression,cpu_act,random,Random,budget_25,seed_0,xgboost,25,0.0003842999994958518,0.042479900001126225,0.7699552013245726,0.7699552013245726,4.593247023495761,8.904427005758794
regression,cpu_act,random,Random,budget_25,seed_0,lightgbm,25,0.0003228999994462356,0.005236799999693176,-0.017709168564609357,-0.017709168564609357,11.795973154362413,18.728871611730597
regression,cpu_act,random,Random,budget_25,seed_0,mlp,25,0.0002537000000302214,0.07717830000001413,-4.074698071372287,-4.074698071372287,17.1457778832911,41.822007259649986
regression,cpu_act,random,Random,budget_50,seed_0,xgboost,50,0.00033830000029411167,0.05869429999984277,0.8463527318692973,0.8463527318692973,3.2989188845543835,7.277164469162515
regression,cpu_act,random,Random,budget_50,seed_0,lightgbm,50,0.0003190000006725313,0.013636800000313087,0.28995243372147783,0.28995243372147783,10.708698106795007,15.643844506036958
regression,cpu_act,random,Random,budget_50,seed_0,mlp,50,0.00025970000024244655,0.11670020000019576,0.5970622197669777,0.5970622197669777,6.188851757410316,11.784706308809398
regression,cpu_act,herding,Herding,budget_25,seed_0,xgboost,25,0.011226000000533531,0.03900729999986652,0.6794192991509002,0.6794192991509002,4.5933178032659185,10.511591038518683
regression,cpu_act,herding,Herding,budget_25,seed_0,lightgbm,25,0.015531899998677545,0.005561100000704755,-0.0080971991512655,-0.0080971991512655,11.41671751067724,18.64021739288293
regression,cpu_act,herding,Herding,budget_25,seed_0,mlp,25,0.012675300000410061,0.04814249999981257,0.24369161787593663,0.24369161787593663,7.812630996098964,16.14541549313808
regression,cpu_act,herding,Herding,budget_50,seed_0,xgboost,50,0.015013199999884819,0.05667619999985618,0.7873992681520527,0.7873992681520527,3.799973582334094,8.560165209802403
regression,cpu_act,herding,Herding,budget_50,seed_0,lightgbm,50,0.012886799999250798,0.01353460000063933,0.23095727917713793,0.23095727917713793,7.996544341812195,16.280772281551624
regression,cpu_act,herding,Herding,budget_50,seed_0,mlp,50,0.014268699998865486,0.09389629999895988,-0.4939715354334593,-0.4939715354334593,8.021697013533792,22.691903628167665
regression,cpu_act,k_center,K-center,budget_25,seed_0,xgboost,25,0.03876309999941441,0.04659610000089742,-0.4494611078530988,-0.4494611078530988,11.667363137134043,22.35131362122839
regression,cpu_act,k_center,K-center,budget_25,seed_0,lightgbm,25,0.03911810000136029,0.0046392000003834255,-0.027355281530462072,-0.027355281530462072,12.096815131177548,18.817420848637916
regression,cpu_act,k_center,K-center,budget_25,seed_0,mlp,25,0.0418177999999898,0.04711999999926775,-0.4450389292691961,-0.4450389292691961,10.860681649022455,22.317191627789033
regression,cpu_act,k_center,K-center,budget_50,seed_0,xgboost,50,0.06015339999976277,0.05210410000108823,0.4699140454778167,0.4699140454778167,6.653857539527805,13.516769799479588
regression,cpu_act,k_center,K-center,budget_50,seed_0,lightgbm,50,0.06409549999989395,0.013663100000485429,0.24003297030589432,0.24003297030589432,9.06297761804568,16.184420164028406
regression,cpu_act,k_center,K-center,budget_50,seed_0,mlp,50,0.0595474000001559,0.08395130000099016,-0.27822408154320555,-0.27822408154320555,9.441334590015796,20.98955671327001
regression,cpu_act,full_data,Full data,budget_25,seed_0,xgboost,4914,2.550000135670416e-05,0.3243421999995917,0.975870664593319,0.975870664593319,1.779498124579246,2.883848551141338
regression,cpu_act,full_data,Full data,budget_25,seed_0,lightgbm,4914,2.9000000722589903e-05,0.18587440000010247,0.973057398328529,0.973057398328529,1.8015496032600389,3.0473303297748355
regression,cpu_act,full_data,Full data,budget_25,seed_0,mlp,4914,3.130000004603062e-05,5.26827030000095,0.9748443716529301,0.9748443716529301,1.8565763760951324,2.9445392915565747
regression,cpu_act,full_data,Full data,budget_50,seed_0,xgboost,4914,5.169999894860666e-05,0.3434345999994548,0.975870664593319,0.975870664593319,1.779498124579246,2.883848551141338
regression,cpu_act,full_data,Full data,budget_50,seed_0,lightgbm,4914,3.1600000511389226e-05,0.21343630000046687,0.973057398328529,0.973057398328529,1.8015496032600389,3.0473303297748355
regression,cpu_act,full_data,Full data,budget_50,seed_0,mlp,4914,3.930000093532726e-05,5.230348000000959,0.9748443716529301,0.9748443716529301,1.8565763760951324,2.9445392915565747
regression,kin8nm,histdistill,HistDistill,budget_25,seed_0,xgboost,25,0.28585129999919445,0.03726760000063223,0.15519789251588523,0.15519789251588523,0.19588727691601726,0.24270442856186847
regression,kin8nm,histdistill,HistDistill,budget_25,seed_0,lightgbm,25,0.28174790000048233,0.005228399999396061,-0.09203109402866061,-0.09203109402866061,0.22178782447544512,0.2759419371576199
regression,kin8nm,histdistill,HistDistill,budget_25,seed_0,mlp,25,0.2933705000014015,0.10094190000017988,0.19869476820586085,0.19869476820586085,0.18779288418443854,0.23637372305729343
regression,kin8nm,histdistill,HistDistill,budget_50,seed_0,xgboost,50,0.29584150000118825,0.055929900001501665,0.3574481868640569,0.3574481868640569,0.16599443713693202,0.21166755013702665
regression,kin8nm,histdistill,HistDistill,budget_50,seed_0,lightgbm,50,0.28510300000016287,0.01230779999968945,0.3046521595256838,0.3046521595256838,0.17453997612809377,0.2201918608237926
regression,kin8nm,histdistill,HistDistill,budget_50,seed_0,mlp,50,0.28126049999991665,0.1377480999999534,0.31701061281372833,0.31701061281372833,0.1678110742569077,0.2182263476889488
regression,kin8nm,random,Random,budget_25,seed_0,xgboost,25,0.00023440000040864106,0.03889119999985269,0.10220873895451366,0.10220873895451366,0.20381868622039995,0.25020033878903325
regression,kin8nm,random,Random,budget_25,seed_0,lightgbm,25,0.00023659999897063244,0.004374199999801931,-2.0661619659634312e-07,-2.0661619659634312e-07,0.2143174038803196,0.26405856050041826
regression,kin8nm,random,Random,budget_25,seed_0,mlp,25,0.0002341999988857424,0.10136319999946863,0.31357766233433804,0.31357766233433804,0.17683593867446895,0.21877410233211356
regression,kin8nm,random,Random,budget_50,seed_0,xgboost,50,0.0002150999989680713,0.052124100000582985,0.31455718034268143,0.31455718034268143,0.17608954943961908,0.21861795234660614
regression,kin8nm,random,Random,budget_50,seed_0,lightgbm,50,0.00026809999872057233,0.014125100000455859,0.2528584168505644,0.2528584168505644,0.18303016395679644,0.22824520401008352
regression,kin8nm,random,Random,budget_50,seed_0,mlp,50,0.00020949999998265412,0.16858660000070813,0.44676118291227807,0.44676118291227807,0.15470959008427557,0.19640680394528148
regression,kin8nm,herding,Herding,budget_25,seed_0,xgboost,25,0.009678700000222307,0.038142199999128934,0.23394769316022002,0.23394769316022002,0.18571273066649419,0.23111568415591888
regression,kin8nm,herding,Herding,budget_25,seed_0,lightgbm,25,0.012110400000892696,0.005088899999464047,-0.08106146845686246,-0.08106146845686246,0.2207657139267925,0.27455249880242344
regression,kin8nm,herding,Herding,budget_25,seed_0,mlp,25,0.010484799999176175,0.09988850000081584,-0.11726860232858538,-0.11726860232858538,0.2130901581201585,0.27911231811956755
regression,kin8nm,herding,Herding,budget_50,seed_0,xgboost,50,0.010623399999531102,0.04813300000023446,0.30604712914158305,0.30604712914158305,0.16995215970953007,0.21997088137666113
regression,kin8nm,herding,Herding,budget_50,seed_0,lightgbm,50,0.010834099999556202,0.012021300000924384,0.30558381330246676,0.30558381330246676,0.1755027805622135,0.22004430061913008
regression,kin8nm,herding,Herding,budget_50,seed_0,mlp,50,0.011779399999795714,0.12417989999994461,0.1821985241466736,0.1821985241466736,0.18057276046887577,0.23879440751360959
regression,kin8nm,k_center,K-center,budget_25,seed_0,xgboost,25,0.03774410000005446,0.04513740000038524,0.006433814334104504,0.006433814334104504,0.21233512908154276,0.26320771071619586
regression,kin8nm,k_center,K-center,budget_25,seed_0,lightgbm,25,0.031188799999654293,0.004957299999659881,-0.08556125515444513,-0.08556125515444513,0.22118159364699277,0.2751233011144045
regression,kin8nm,k_center,K-center,budget_25,seed_0,mlp,25,0.03400839999994787,0.10377470000094036,-0.22609896521204287,-0.22609896521204287,0.23574160752567555,0.2923903058100288
regression,kin8nm,k_center,K-center,budget_50,seed_0,xgboost,50,0.044318999998722575,0.05166589999862481,0.15544823641654493,0.15544823641654493,0.19425500778147584,0.24266846506534676
regression,kin8nm,k_center,K-center,budget_50,seed_0,lightgbm,50,0.0486709000015253,0.014198400000168476,0.20760269640975015,0.20760269640975015,0.19111443967453,0.2350561946705729
regression,kin8nm,k_center,K-center,budget_50,seed_0,mlp,50,0.055165099998703226,0.1608582999997452,0.2015711257349455,0.2015711257349455,0.19014734494166327,0.23594909924044946
regression,kin8nm,full_data,Full data,budget_25,seed_0,xgboost,4914,3.479999941191636e-05,0.22831980000046315,0.6005425490786376,0.6005425490786376,0.1315194646943001,0.16689198098327412
regression,kin8nm,full_data,Full data,budget_25,seed_0,lightgbm,4914,4.219999937049579e-05,0.12149169999975129,0.5783783307398931,0.5783783307398931,0.13489477230760394,0.1714595455229846
regression,kin8nm,full_data,Full data,budget_25,seed_0,mlp,4914,2.3799999326001853e-05,15.216913800000839,0.916832495581582,0.916832495581582,0.0591991409772369,0.07615125087339444
regression,kin8nm,full_data,Full data,budget_50,seed_0,xgboost,4914,2.13999992411118e-05,0.2508963999989646,0.6005425490786376,0.6005425490786376,0.1315194646943001,0.16689198098327412
regression,kin8nm,full_data,Full data,budget_50,seed_0,lightgbm,4914,3.870000000461005e-05,0.1335822000000917,0.5783783307398931,0.5783783307398931,0.13489477230760394,0.1714595455229846
regression,kin8nm,full_data,Full data,budget_50,seed_0,mlp,4914,3.690000085043721e-05,15.267711000000418,0.916832495581582,0.916832495581582,0.0591991409772369,0.07615125087339444
regression,house_16H,histdistill,HistDistill,budget_25,seed_0,xgboost,25,0.5894800999994914,0.0444247000014002,0.12503045593857365,0.12503045593857365,23192.540768636067,48205.15206808336
