dataset,method,method_label,budget,seed,reg_lambda,probe_depth,sld_inf,sld_l1,sld_inf_norm,sld_l1_norm,sld_root_inf,sld_root_l1,sld_root_inf_norm,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,sld_states,sld_depth_0_inf_norm,sld_depth_0_agreement,sld_depth_1_inf_norm,sld_depth_1_agreement,sld_depth_2_inf_norm,sld_depth_2_agreement
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10.0,1,4.873363613970087,132.3147611064422,0.08851714949575672,0.022371768560054107,5.856244523283026,157.00472553932568,0.06352278400376858,0.01703032929781841,49.92026476725809,1.0,1.0,0.9570754780365104,1.0,9.0,0.0862924368633795,1.0,0.09129804028622823,1.0,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10.0,2,4.804871870745176,123.71297271714994,0.17988779777092032,0.04299329128241263,5.856244523283026,157.00472553932568,0.06352278400376858,0.01703032929781841,49.92026476725809,1.0,1.0,0.8831247527729267,0.7692307692307693,13.0,0.0862924368633795,1.0,0.09129804028622823,1.0,0.38547175639003833,0.75
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,0.1,0,7.00811419625155,179.69922244144263,0.08718717525726999,0.020964744117261024,8.690701668119246,221.34119253530548,0.07895557651414718,0.018280898084927694,55.65285586258567,1.0,1.0,0.9492140347559783,1.0,5.0,0.08718717525726999,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,0.1,1,6.645614897541495,154.90135635250823,0.2607346672616185,0.040085089323225014,8.690701668119246,221.34119253530548,0.07895557651414718,0.018280898084927694,55.65285586258567,1.0,1.0,0.735858294555335,0.8181818181818182,11.0,0.08718717525726999,1.0,0.40535757726524224,0.6666666666666666,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,0.1,2,6.536863158538489,140.9048338354931,0.3689607728734534,0.056305378426968054,8.690701668119246,221.34119253530548,0.07895557651414718,0.018280898084927694,55.65285586258567,1.0,1.0,0.684040572947155,0.631578947368421,19.0,0.08718717525726999,1.0,0.40535757726524224,0.6666666666666666,0.5177716680897264,0.75
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1.0,0,6.72672479621244,168.6407625468146,0.08446204326922957,0.01998717856326305,8.502669028812086,205.4382590123187,0.0786096820346253,0.017266702494968984,55.16541470118885,1.0,1.0,0.9516920728371054,1.0,5.0,0.08446204326922957,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1.0,1,6.265688263447282,149.00091480189474,0.2586783705839679,0.04642804170684702,8.502669028812086,205.4382590123187,0.0786096820346253,0.017266702494968984,55.16541470118885,1.0,1.0,0.8177672960573006,0.8181818181818182,11.0,0.08446204326922957,1.0,0.4038586433462499,0.6666666666666666,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1.0,2,6.133747149249163,134.89459497571988,0.37261189402136125,0.06443553707674037,8.502669028812086,205.4382590123187,0.0786096820346253,0.017266702494968984,55.16541470118885,1.0,1.0,0.7561066966685213,0.631578947368421,19.0,0.08446204326922957,1.0,0.4038586433462499,0.6666666666666666,0.5292704887477772,0.75
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,10.0,0,5.076838005714393,124.44006916993901,0.07173872429582881,0.017349519023391168,7.0108754677803375,152.38725142548938,0.07604708550787524,0.015305065828614298,49.92026476725809,1.0,1.0,0.9640798964684185,1.0,5.0,0.07173872429582881,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_1,10.0,1,4.5749117494995195,120.77721543878724,0.23132417646179626,0.06965457286011267,7.0108754677803375,152.38725142548938,0.07604708550787524,0.015305065828614298,49.92026476725809,1.0,1.0,0.9151236447207247,0.8181818181818182,11.0,0.07173872429582881,1.0,0.36431205326676913,0.6666666666666666,,
