dataset,method,method_label,budget,seed,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,el2n_coreset,EL2N,budget_25,seed_0,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.0,0.0,1.0,0.23867479570764963,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,el2n_coreset,EL2N,budget_25,seed_1,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.0,0.0,1.0,0.1254424488825516,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,el2n_coreset,EL2N,budget_25,seed_2,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.0,0.0,1.0,0.14841884697394578,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,el2n_coreset,EL2N,budget_50,seed_0,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.0,0.0,1.0,0.20738726861598505,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,el2n_coreset,EL2N,budget_50,seed_1,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.0,0.0,1.0,0.12837835493760463,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,el2n_coreset,EL2N,budget_50,seed_2,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.0,0.0,1.0,0.13731775433145174,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,distribution_matching,DistributionMatching,budget_25,seed_0,0.2380697754388097,0.2380697754388097,0.2380697754388097,0.2380697754388097,0.2380697754388097,0.2380697754388097,0.0,0.0,1.0,0.2380697754388097,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,distribution_matching,DistributionMatching,budget_25,seed_1,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.0,0.0,1.0,0.12090728880498558,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,distribution_matching,DistributionMatching,budget_25,seed_2,0.14788785251873143,0.14788785251873143,0.14788785251873143,0.14788785251873143,0.14788785251873143,0.14788785251873143,0.0,0.0,1.0,0.14788785251873143,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,distribution_matching,DistributionMatching,budget_50,seed_0,0.2406112198241269,0.2406112198241269,0.2406112198241269,0.2406112198241269,0.2406112198241269,0.2406112198241269,0.0,0.0,1.0,0.2406112198241269,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,distribution_matching,DistributionMatching,budget_50,seed_1,0.1369808683359444,0.1369808683359444,0.1369808683359444,0.1369808683359444,0.1369808683359444,0.1369808683359444,0.0,0.0,1.0,0.1369808683359444,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,distribution_matching,DistributionMatching,budget_50,seed_2,0.14493787871709266,0.14493787871709266,0.14493787871709266,0.14493787871709266,0.14493787871709266,0.14493787871709266,0.0,0.0,1.0,0.14493787871709266,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,k_center,K-center,budget_25,seed_0,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.0,0.0,1.0,0.23858048749138513,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,k_center,K-center,budget_25,seed_1,0.13516617689302296,0.13516617689302296,0.13516617689302296,0.13516617689302296,0.13516617689302296,0.13516617689302296,0.0,0.0,1.0,0.13516617689302296,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,k_center,K-center,budget_25,seed_2,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.0,0.0,1.0,0.12454463499701779,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,k_center,K-center,budget_50,seed_0,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.23858048749138513,0.0,0.0,1.0,0.23858048749138513,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,k_center,K-center,budget_50,seed_1,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.12090728880498558,0.0,0.0,1.0,0.12090728880498558,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,k_center,K-center,budget_50,seed_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradient_sampling,Gradient sampling,budget_25,seed_0,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.0,0.0,1.0,0.20738726861598505,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradient_sampling,Gradient sampling,budget_25,seed_1,0.13447834700296374,0.13447834700296374,0.13447834700296374,0.13447834700296374,0.13447834700296374,0.13447834700296374,0.0,0.0,1.0,0.13447834700296374,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradient_sampling,Gradient sampling,budget_25,seed_2,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.0,0.0,1.0,0.12394865497976804,0.0,,,,
