task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,accuracy,macro_f1,macro_auroc
multiclass,letter,full_data,Full data,budget_25,seed_0,xgboost,7200,2.8200000087963417e-05,6.056641699999091,0.9962668997730458,0.89125,0.8910836094665165,0.9962668997730458
multiclass,letter,full_data,Full data,budget_25,seed_0,lightgbm,7200,3.1600000511389226e-05,18.467917599999055,0.9985785858566729,0.9295833333333333,0.9293753656780007,0.9985785858566729
multiclass,letter,full_data,Full data,budget_25,seed_0,mlp,7200,5.919999966863543e-05,22.965307599999505,0.9983992129337682,0.9183333333333333,0.9180743164142503,0.9983992129337682
multiclass,letter,full_data,Full data,budget_50,seed_0,xgboost,7200,2.4000000848900527e-05,6.001002299999527,0.9962668997730458,0.89125,0.8910836094665165,0.9962668997730458
multiclass,letter,full_data,Full data,budget_50,seed_0,lightgbm,7200,2.4300001314259134e-05,16.930079699999624,0.9985785858566729,0.9295833333333333,0.9293753656780007,0.9985785858566729
multiclass,letter,full_data,Full data,budget_50,seed_0,mlp,7200,3.5200000638724305e-05,21.672799800000575,0.9983992129337682,0.9183333333333333,0.9180743164142503,0.9983992129337682
multiclass,mfeat_fourier,histdistill,HistDistill,budget_25,seed_0,xgboost,250,8.723278199999186,3.216608599999745,0.9716666666666665,0.7775,0.7736971049746523,0.9716666666666665
multiclass,mfeat_fourier,histdistill,HistDistill,budget_25,seed_0,lightgbm,250,6.778642299999774,1.683369299998958,0.9699652777777779,0.775,0.7715652182647256,0.9699652777777779
multiclass,mfeat_fourier,histdistill,HistDistill,budget_25,seed_0,mlp,250,6.561565399999381,0.7873037999997905,0.9640416666666667,0.795,0.7914200751128277,0.9640416666666667
multiclass,mfeat_fourier,histdistill,HistDistill,budget_50,seed_0,xgboost,500,6.532364700000471,4.4950396999993245,0.976548611111111,0.805,0.8044804226707367,0.976548611111111
multiclass,mfeat_fourier,histdistill,HistDistill,budget_50,seed_0,lightgbm,500,6.508905299999242,2.909769799998685,0.9767083333333334,0.815,0.8130496225545192,0.9767083333333334
multiclass,mfeat_fourier,histdistill,HistDistill,budget_50,seed_0,mlp,500,6.964236599998912,1.1393625999990036,0.9676736111111112,0.7825,0.7807797491291628,0.9676736111111112
multiclass,mfeat_fourier,random,Random,budget_25,seed_0,xgboost,250,0.0004805000007763738,2.6520709000014904,0.9633680555555555,0.7575,0.7531053252002122,0.9633680555555555
multiclass,mfeat_fourier,random,Random,budget_25,seed_0,lightgbm,250,0.000680600000123377,1.4143715999998676,0.959875,0.7475,0.7447358115761279,0.959875
multiclass,mfeat_fourier,random,Random,budget_25,seed_0,mlp,250,0.00041600000076869037,0.6259979999995267,0.9400694444444445,0.71,0.7086507603378661,0.9400694444444445
multiclass,mfeat_fourier,random,Random,budget_50,seed_0,xgboost,500,0.0004984999995940598,4.604380500000843,0.9746666666666668,0.7875,0.7868305444360296,0.9746666666666668
multiclass,mfeat_fourier,random,Random,budget_50,seed_0,lightgbm,500,0.0006236999997781822,2.850136500001099,0.9710902777777777,0.7725,0.7731408660810977,0.9710902777777777
multiclass,mfeat_fourier,random,Random,budget_50,seed_0,mlp,500,0.0008937000002333662,1.248274699999456,0.9643680555555555,0.77,0.7711169068811345,0.9643680555555555
multiclass,mfeat_fourier,herding,Herding,budget_25,seed_0,xgboost,250,0.019952900000134832,3.1533389999985957,0.96775,0.795,0.789658779564733,0.96775
multiclass,mfeat_fourier,herding,Herding,budget_25,seed_0,lightgbm,250,0.018041599998468882,1.7522915999998077,0.9654583333333333,0.775,0.7738946347335756,0.9654583333333333
multiclass,mfeat_fourier,herding,Herding,budget_25,seed_0,mlp,250,0.019463099999484257,0.8032428999995318,0.9642638888888888,0.7875,0.7865635994684903,0.9642638888888888
multiclass,mfeat_fourier,herding,Herding,budget_50,seed_0,xgboost,500,0.03217269999913697,4.39861270000074,0.9762430555555556,0.79,0.7889312270954013,0.9762430555555556
multiclass,mfeat_fourier,herding,Herding,budget_50,seed_0,lightgbm,500,0.03018560000055004,3.2405978000006144,0.9727916666666667,0.785,0.7853241416907127,0.9727916666666667
multiclass,mfeat_fourier,herding,Herding,budget_50,seed_0,mlp,500,0.025493400000414113,1.2176552999990236,0.9689027777777778,0.805,0.8045494168090759,0.9689027777777778
multiclass,mfeat_fourier,k_center,K-center,budget_25,seed_0,xgboost,250,0.18437959999937448,3.7059966000015265,0.9712430555555557,0.76,0.7584682110386516,0.9712430555555557
multiclass,mfeat_fourier,k_center,K-center,budget_25,seed_0,lightgbm,250,0.1906488000004174,2.5756087000008847,0.9706041666666666,0.7825,0.7766216716074669,0.9706041666666666
multiclass,mfeat_fourier,k_center,K-center,budget_25,seed_0,mlp,250,0.2112025000005815,0.8818640999998024,0.9662777777777777,0.78,0.7768856538667412,0.9662777777777777
