dataset,seed,state,depth,margin,best_gain,num_candidates
credit_g,seed_0,probe_d1,1,0.40879986062616247,8.400699045105961,101
credit_g,seed_0,probe_d2,2,0.40879986062616247,8.400699045105961,95
credit_g,seed_0,probe_d1,1,1.232113819997526,7.321765510373339,97
credit_g,seed_0,probe_d2,2,1.232113819997526,7.321765510373339,93
credit_g,seed_0,probe_d0,0,0.37072621741513423,7.681775817632372,98
credit_g,seed_0,probe_d1,1,0.37072621741513423,7.681775817632372,94
credit_g,seed_0,probe_d2,2,0.01085430698154699,1.7715874399492453,92
credit_g,seed_0,probe_d2,2,0.11739818167328941,6.854668382161757,97
credit_g,seed_1,root,0,0.9108990061762654,29.584792388580546,102
credit_g,seed_1,probe_d0,0,0.9108990061762654,29.584792388580546,98
credit_g,seed_1,probe_d1,1,2.104868237602318,27.766488770402166,91
credit_g,seed_1,probe_d2,2,0.5176829715743647,14.94177429300264,96
credit_g,seed_1,probe_d2,2,1.5980029332190853,7.0614742021756705,98
credit_g,seed_1,probe_d1,1,0.5061586449709923,1.7951344501216484,98
credit_g,seed_1,probe_d2,2,0.3319890941375174,1.8752780827229012,95
credit_g,seed_1,probe_d0,0,0.8235019393292404,28.395549360097323,98
credit_g,seed_1,probe_d1,1,0.4101994364506467,7.331106527706989,96
credit_g,seed_1,probe_d2,2,0.6101160718785223,8.824224688931546,98
credit_g,seed_1,probe_d2,2,0.03133030641626089,3.41925763796408,94
credit_g,seed_1,probe_d1,1,1.2433614375112008,5.16819477776076,97
credit_g,seed_1,probe_d2,2,0.046831208390234025,1.1477754073855557,94
credit_g,seed_1,probe_d2,2,0.48540896379135745,3.968824884186663,93
credit_g,seed_1,probe_d0,0,0.26535122428566815,16.10269381797466,99
credit_g,seed_1,probe_d1,1,0.26535122428566815,16.10269381797466,97
credit_g,seed_1,probe_d2,2,1.141219427773125,16.02172033944044,97
credit_g,seed_1,probe_d0,0,0.20709694192295558,8.83818989375052,98
credit_g,seed_1,probe_d1,1,0.23888173076635066,3.593422803233863,98
credit_g,seed_1,probe_d2,2,0.23888173076635066,3.593422803233863,94
credit_g,seed_2,root,0,0.9108990061762654,29.584792388580546,94
credit_g,seed_2,probe_d0,0,0.9108990061762654,29.584792388580546,90
credit_g,seed_2,probe_d1,1,0.46371802551118435,9.215680653391125,99
credit_g,seed_2,probe_d2,2,0.13252911675371237,3.874547885511358,94
credit_g,seed_2,probe_d2,2,0.2504951954623671,5.834347152626169,96
credit_g,seed_2,probe_d1,1,1.2375212568143787,5.263543397575809,101
credit_g,seed_2,probe_d2,2,0.6488692579430122,3.260828057750473,97
credit_g,seed_2,probe_d0,0,0.2588860818119798,25.475243862664374,94
credit_g,seed_2,probe_d1,1,0.2588860818119798,25.475243862664374,96
credit_g,seed_2,probe_d2,2,0.8440646550550142,16.545896793077368,90
credit_g,seed_2,probe_d2,2,1.3185217110169205,9.338288499634729,94
credit_g,seed_2,probe_d0,0,0.18983769767615044,14.670360290249763,91
credit_g,seed_2,probe_d1,1,0.18983769767615044,14.670360290249763,97
credit_g,seed_2,probe_d2,2,0.6746832175668196,13.141750756564367,98
credit_g,seed_2,probe_d2,2,0.3476005861044271,1.7731747538433975,95
credit_g,seed_2,probe_d0,0,0.20143596740313008,8.120177898921288,97
credit_g,seed_2,probe_d1,1,0.20143596740313008,8.120177898921288,97
credit_g,seed_2,probe_d2,2,0.006573930386388316,1.6876863627824792,97
diabetes,seed_0,root,0,0.11268344972599309,0.419241748835402,103
diabetes,seed_1,root,0,0.010626666951074393,0.3668899185211403,108
diabetes,seed_2,root,0,0.016018663496830732,0.33497006878692515,101
electricity,seed_0,root,0,0.25503588878901073,6.893296174896563,113
electricity,seed_1,root,0,0.3226575846855777,6.358811445503117,106
electricity,seed_2,root,0,0.41683228434542485,5.821586068759608,112
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,root,0,0.006187697162446604,1.364349863790032,127
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,root,0,0.2365808754957932,1.7060559718888406,126
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,root,0,0.12352236323181676,1.519338246905696,126
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,root,0,0.004190145352290925,0.15741702369855293,55
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_1,root,0,0.03395895931302162,0.16296825717220084,55
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_2,root,0,0.002173716238869028,0.14325907031916676,55
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,seed_0,root,0,0.047035025066435525,0.10890330911364536,54
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,seed_1,root,0,0.03253811305859719,0.1128037630139964,54
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,seed_2,root,0,0.07904226494605755,0.14726857140258637,54
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,seed_0,root,0,0.037586439099863256,0.24637997160133535,53
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,seed_1,root,0,0.030164357939150094,0.2661521775611129,53
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,seed_2,root,0,0.013993063357454982,0.2594782277548599,53
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,seed_0,root,0,0.05485990141136432,0.13978734207740884,54
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,seed_1,root,0,0.011294387613400875,0.10265548545518274,54
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,seed_2,root,0,0.016820725767036096,0.14049041453140879,54
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,seed_0,root,0,0.13173532369286556,0.24132039374342484,57
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,seed_1,root,0,0.006067171188492287,0.13705426895325168,57
