dataset,method,method_label,budget,seed,learner,full_auc,deployed_auc,leaf_refit_auc,total_gap,structure_error,leaf_estimate_recovery,leaf_population_l1,leaf_population_kl,train_rows,status,sld_inf_norm,sld_root_agreement_direct,full_deployed_auc,structure_ref_auc
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_25,seed_1,lightgbm,0.5405468750000001,0.57982421875,0.4825976562499999,-0.04095703125000005,0.05626953125000006,-0.0972265625,0.0399722222222222,0.0042584882161378,50,ok,72.04707912744986,0.0,0.5388671875,0.5388671875
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_25,seed_2,xgboost,0.5064453124999999,0.4778125,0.5090234375,0.039589843749999964,0.008378906249999929,0.0312109374999999,0.063515625,0.2722356581185467,50,ok,53.41014450689055,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_25,seed_2,lightgbm,0.5405468750000001,0.466328125,0.479765625,0.06464843750000004,0.05121093750000005,0.0134374999999999,0.0546875,0.0078755426546031,50,ok,53.41014450689055,0.0,0.5309765625,0.5309765625
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_50,seed_0,xgboost,0.5064453124999999,0.48203125,0.53482421875,0.035371093749999916,-0.01742187500000003,0.0527929687499999,0.0242604166666666,0.1143630997447418,100,ok,23.763949100409285,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_50,seed_0,lightgbm,0.5405468750000001,0.4763671874999999,0.5219921875,0.0641796875000002,0.01855468750000011,0.045625,0.0469722222222222,0.0064614910876713,100,ok,23.763949100409285,0.0,0.5405468750000001,0.5405468750000001
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_50,seed_1,xgboost,0.5064453124999999,0.5890234375,0.5017773437499999,-0.07162109375000003,0.015625,-0.08724609375,0.0372239583333333,0.1297168222273786,100,ok,17.941010819852945,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_50,seed_1,lightgbm,0.5405468750000001,0.5859375,0.5659765625,-0.047070312500000044,-0.02710937499999999,-0.0199609375,0.0502204861111111,0.0083013029633321,100,ok,17.941010819852945,0.0,0.5388671875,0.5388671875
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_50,seed_2,xgboost,0.5064453124999999,0.551484375,0.499296875,-0.03408203125000009,0.018105468749999964,-0.0521875,0.0275130208333333,0.0787497910056051,100,ok,17.321162480460487,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_50,seed_2,lightgbm,0.5405468750000001,0.5420703124999999,0.51671875,-0.011093749999999902,0.014257812500000022,-0.0253515624999999,0.0475694444444444,0.0071671689110674,100,ok,17.321162480460487,0.0,0.5309765625,0.5309765625
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,goss_coreset,GOSS coreset,budget_25,seed_0,xgboost,0.5064453124999999,0.509765625,0.5203125,0.007636718749999938,-0.0029101562500000178,0.0105468749999999,0.0768967013984284,0.211987423860953,50,ok,50.85885411964461,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,goss_coreset,GOSS coreset,budget_25,seed_0,lightgbm,0.5405468750000001,0.53142578125,0.53162109375,0.009121093750000142,0.008925781250000098,0.0001953125,0.0839120370376406,0.0152862870007349,50,ok,50.85885411964461,0.0,0.5405468750000001,0.5405468750000001
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,goss_coreset,GOSS coreset,budget_25,seed_1,xgboost,0.5064453124999999,0.5569140625,0.5073632812500001,-0.039511718750000036,0.010039062499999862,-0.0495507812499999,0.0613020833472061,0.1181517700240737,50,ok,62.449999874614186,0.0,0.5064453124999999,0.5174023437499999
