dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_2,1,0.14345090091228485,0.048741837106645106,0.11229094676673412,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_2,5,0.42740824818611145,0.129953592880629,0.2410232990980151,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_2,10,0.9344446063041687,0.2276174835022539,0.4232247557491065,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_2,25,1.5434653162956238,0.44154720603488384,0.8059818297624591,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_2,50,2.3392735421657562,0.5749457781808451,1.0529631741344931,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_0,1,0.12980281561613083,0.052256657504476604,0.10674440348520875,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_0,5,0.4648830220103264,0.1632521933922544,0.28993549384176737,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_0,10,0.8982650935649872,0.2921341637894511,0.5287829350680113,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_0,25,1.4851485788822174,0.5051131712645293,0.9725969791412354,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_0,50,2.442496120929718,0.7372785633336753,1.2871063075959683,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_1,1,0.12952941469848156,0.07247586093842984,0.129098036326468,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_1,5,0.4511614739894867,0.13545686524361372,0.3236840717494489,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_1,10,0.7584933787584305,0.23672068439424038,0.4897375926375389,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_1,25,1.2406164705753326,0.4672819320205599,1.0069568682461978,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_1,50,1.8142265677452087,0.8213966105133295,1.4772806331515314,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_2,1,0.10183104686439037,0.049714275039732456,0.07797062676399946,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_2,5,0.34674900583922863,0.14729793280363082,0.31167273479513824,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_2,10,0.6001065373420715,0.2351091927383095,0.4082743234932423,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_2,25,1.145498514175415,0.4576256022974849,0.8859379038214684,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_25,seed_2,50,1.7753589749336243,0.6881819214299321,1.3232468783855442,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_0,1,0.09267326537519693,0.04416758255800232,0.0894705860875547,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,random,Random,budget_50,seed_0,5,0.41615985333919525,0.12756340277614073,0.26326154023408893,100
