dataset,method,budget,seed,auroc,method_label,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
adult,herding,budget_50,seed_1,0.7651190768586207,Herding,390.53607534150615,0.636262549944169,186.8518316474302,0.6631833318440417,646.8527128547632,0.658354508942101,0.0,0.0,25.0,0.5172653241326396,0.0,0.6277251512313209,0.0,0.7476212887989396,0.0
adult,herding,budget_50,seed_2,0.7651190768586207,Herding,354.55192080237447,0.6010289441008949,182.8040587590856,0.6204222814067449,646.8527128547632,0.658354508942101,0.08,0.018198130796676745,25.0,0.4661793863045304,0.0,0.6204677025408416,0.125,0.6846598736099364,0.08333333333333333
adult,histdistill_density,budget_25,seed_0,0.7903328412979035,HistDistill-Density,35.742796440538235,0.1309953458467221,39.329033724864225,0.34878669986994204,0.0,0.0,0.36,0.633705987936094,25.0,0.0414667729706634,0.6,0.32629592709162514,0.375,0.49183051793018623,0.25
adult,histdistill_density,budget_25,seed_1,0.7618796332419553,HistDistill-Density,71.7904557558601,0.24381902520671606,71.66320434537714,0.541207684019739,0.0,0.0,0.2,0.5142016281340529,25.0,0.07924384652090896,0.4,0.602824734340508,0.25,0.6926145827637386,0.08333333333333333
adult,histdistill_density,budget_25,seed_2,0.767832034459387,HistDistill-Density,154.47054998942963,0.3664512141506987,111.45681076001082,0.5188117910122935,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.545724520327897,0.0,0.6630880823970496,0.08333333333333333
adult,histdistill_density,budget_50,seed_0,0.7851537544132938,HistDistill-Density,85.51818073982125,0.17520152314541126,52.5879593900782,0.3306297669883553,190.2839959802684,0.19366746748306204,0.24,0.3449325728219927,25.0,0.11893375996388822,0.2,0.20613552244053146,0.375,0.5018325996137658,0.16666666666666666
adult,histdistill_density,budget_50,seed_1,0.7902274398744632,HistDistill-Density,14.969793227443056,0.10591141365719989,31.185052796002097,0.40278961796635804,0.0,0.0,0.4,0.8298367723769562,25.0,0.05011655225377735,0.8,0.38981661708895,0.375,0.5583853959315386,0.25
adult,histdistill_density,budget_50,seed_2,0.7907787303123586,HistDistill-Density,127.22754779441102,0.2245898038018458,68.30940189128737,0.3112578426062875,219.33384117567027,0.2232338528261146,0.32,0.20792721193943342,25.0,0.15507564369241975,0.0,0.18337753893908149,0.5,0.4615872945985364,0.3333333333333333
adult,histdistill_greedy,budget_25,seed_0,0.6563710713738559,HistDistill-Greedy,524.9857132512053,0.8768034969974822,263.1037026589258,0.8404169721675215,888.8183544668892,0.9046225820268912,0.0,0.0,25.0,0.7909095490978103,0.0,0.7841201046308302,0.0,0.8985763101376955,0.0
adult,histdistill_greedy,budget_25,seed_1,0.5887155512956489,HistDistill-Greedy,380.68380626407065,0.6729959338755377,197.70647059265343,0.7877416974532901,483.76975159268034,0.49237174231709796,0.0,0.0,25.0,0.5378184275763032,0.0,0.6992419174740656,0.0,0.9508762465548516,0.0
adult,histdistill_greedy,budget_25,seed_2,0.5114468933503652,HistDistill-Greedy,329.51476282914996,0.6360119572690793,193.48215815542116,0.7427584192682691,483.76975159268034,0.49237174231709796,0.04,0.0300537111565593,25.0,0.5318348858737003,0.0,0.7034885429805193,0.0,0.8568231423745062,0.08333333333333333
adult,histdistill_greedy,budget_50,seed_0,0.7430911520820256,HistDistill-Greedy,336.61246791443983,0.6261747858002261,187.87011117001373,0.6968284458495967,483.76975159268034,0.49237174231709796,0.04,0.015843329605116942,25.0,0.5434613657600197,0.0,0.6549303281001734,0.0,0.7886634743865361,0.08333333333333333
adult,histdistill_greedy,budget_50,seed_1,0.6375627883644333,HistDistill-Greedy,374.0829158697954,0.6374554986696548,187.3209230023339,0.7617402968751966,483.76975159268034,0.49237174231709796,0.0,0.0,25.0,0.5378184275763032,0.0,0.6398825664965849,0.0,0.9362795626688101,0.0
adult,histdistill_greedy,budget_50,seed_2,0.6687837738781643,HistDistill-Greedy,328.7992053706866,0.6357810433592808,193.4119252650597,0.7467976860228702,483.76975159268034,0.49237174231709796,0.04,0.0300537111565593,25.0,0.5318348858737003,0.0,0.7235479938737817,0.0,0.8518653141844167,0.08333333333333333
adult,histdistill_refined,budget_25,seed_0,0.7842704529655701,HistDistill-Refined,85.60970724581458,0.18174894851892506,54.551753403285694,0.36428009726858707,190.2839959802684,0.19366746748306204,0.28,0.3716402763749004,25.0,0.11893375996388822,0.2,0.32629592709162514,0.375,0.49183051793018623,0.25
adult,histdistill_refined,budget_25,seed_1,0.7668157132191936,HistDistill-Refined,33.10927877775218,0.1817139572768578,53.43434573921955,0.5109219078854559,0.0,0.0,0.28,0.6996133707418126,25.0,0.04686976826646357,0.6,0.602824734340508,0.25,0.6430084150900014,0.16666666666666666
adult,histdistill_refined,budget_25,seed_2,0.7882141823625274,HistDistill-Refined,157.65889242090265,0.381171465330027,115.93400222964944,0.5396885867226607,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.5807727907012532,0.0,0.6832158932114109,0.08333333333333333
adult,histdistill_refined,budget_50,seed_0,0.7990098727852761,HistDistill-Refined,87.73948445871906,0.19097997128335914,57.320448914334975,0.3657831044136745,190.2839959802684,0.19366746748306204,0.24,0.3449325728219927,25.0,0.11893375996388822,0.2,0.29204508540258645,0.375,0.5177956772751441,0.16666666666666666
