dataset,seed,repeat,dose_ratio,auroc,agreement,root_agreement,split_regret_norm,injected_sld,node_count,n_estimators,max_candidates,train_rows,dose0_auroc,delta_auc_vs_dose0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,0.75,0.47703125,0.9541484716157205,0.9375,0.012899162828009346,0.1746103340303297,458,80,192,960,0.563046875,-0.08601562499999993
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,0.75,0.4932031249999999,0.9256756756756757,0.9625,0.013315797846922975,0.16149697753150868,444,80,192,960,0.563046875,-0.06984375000000004
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,0.75,0.49214843750000004,0.9364035087719298,0.925,0.010197485514245597,0.16977243931416316,456,80,192,960,0.563046875,-0.07089843749999991
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,1.0,0.4944921875,0.8373101952277657,0.875,0.03797695742794851,0.36752811565105353,461,80,192,960,0.563046875,-0.06855468749999993
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,1.0,0.48703124999999997,0.8527472527472527,0.8125,0.030426636406689984,0.3611582497737321,455,80,192,960,0.563046875,-0.07601562499999998
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,1.0,0.5401562499999999,0.8307349665924276,0.8,0.04769284819978143,0.796860482458972,449,80,192,960,0.563046875,-0.022890625000000053
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,1.5,0.49421874999999993,0.6709677419354839,0.7625,0.10057369140636715,0.8937723430041388,465,80,192,960,0.563046875,-0.06882812500000002
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,1.5,0.5728125000000001,0.6162046908315565,0.65,0.119069012412214,1.4883118255349137,469,80,192,960,0.563046875,0.009765625000000111
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,1.5,0.6326171875,0.6815286624203821,0.6625,0.1198018405458619,2.464572632649108,471,80,192,960,0.563046875,0.06957031250000001
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,2.0,0.5124609375,0.5831578947368421,0.6125,0.12748541713538553,0.952630143812365,475,80,192,960,0.563046875,-0.050585937499999956
