selector,dataset,budget,seed,chosen_method,best_method,top1,top3,rank_spearman,candidate_methods
split_regret,sick,budget_25,seed_2,distribution_matching,gain_path_refined,0.0,0.0,-0.18645328148324214,17
split_regret,sick,budget_50,seed_0,gradient_sampling,k_center,0.0,0.0,0.2802277776416235,17
split_regret,sick,budget_50,seed_1,distribution_matching,k_center,0.0,0.0,-0.2550355497516644,17
split_regret,sick,budget_50,seed_2,gradient_sampling,k_center,0.0,0.0,0.3331841199727583,17
split_regret,spambase,budget_25,seed_0,histdistill_density,gradmatch_coreset,0.0,0.0,-0.14978517248286158,17
split_regret,spambase,budget_25,seed_1,gain_path_herding,herding,0.0,1.0,-0.5288343558282209,17
split_regret,spambase,budget_25,seed_2,gain_herding,herding,0.0,0.0,-0.5312883435582823,17
split_regret,spambase,budget_50,seed_0,random,gain_herding,0.0,0.0,-0.12392638036809818,17
split_regret,spambase,budget_50,seed_1,gain_path_refined,gain_path_refined,1.0,1.0,-0.5586250285221477,17
split_regret,spambase,budget_50,seed_2,gain_herding,distribution_matching,0.0,1.0,-0.480049200334417,17
split_regret,tic_tac_toe,budget_25,seed_0,craig_coreset,histdistill_density,0.0,0.0,-0.6255824477538539,17
split_regret,tic_tac_toe,budget_25,seed_1,goss_coreset,histdistill_density,0.0,0.0,-0.5419210831613968,17
split_regret,tic_tac_toe,budget_25,seed_2,goss_coreset,gain_path_herding,0.0,0.0,-0.4334376538002311,17
split_regret,tic_tac_toe,budget_50,seed_0,craig_coreset,k_center,0.0,1.0,-0.6548222555900249,17
split_regret,tic_tac_toe,budget_50,seed_1,distribution_matching,k_center,0.0,0.0,-0.33200899742322787,17
split_regret,tic_tac_toe,budget_50,seed_2,craig_coreset,craig_coreset,1.0,1.0,-0.7802692009639127,17
sld,adult,budget_25,seed_0,histdistill_density,histdistill_density,1.0,1.0,-0.41754385964912283,12
sld,adult,budget_25,seed_1,random,gain_path_refined,0.0,0.0,-0.5228070175438596,12
sld,adult,budget_25,seed_2,gradmatch_coreset,histdistill_refined,0.0,0.0,-0.5578947368421053,12
sld,adult,budget_50,seed_0,histdistill_refined,gain_path_refined,0.0,1.0,-0.3964912280701755,12
sld,adult,budget_50,seed_1,random,gain_path_refined,0.0,1.0,-0.2771929824561404,12
sld,adult,budget_50,seed_2,histdistill_refined,gain_path_refined,0.0,1.0,-0.6280701754385966,12
sld,agaricus_lepiota,budget_25,seed_0,craig_coreset,gain_path_refined,0.0,1.0,-0.8456140350877194,12
sld,agaricus_lepiota,budget_25,seed_1,craig_coreset,gain_path_refined,0.0,0.0,-0.775438596491228,12
sld,agaricus_lepiota,budget_25,seed_2,histdistill_refined,gain_path_refined,0.0,1.0,-0.8245614035087719,12
sld,agaricus_lepiota,budget_50,seed_0,craig_coreset,craig_coreset,1.0,1.0,-0.4526315789473685,12
sld,agaricus_lepiota,budget_50,seed_1,craig_coreset,craig_coreset,1.0,1.0,-0.775438596491228,12
sld,agaricus_lepiota,budget_50,seed_2,histdistill_refined,craig_coreset,0.0,0.0,-0.4947368421052632,12
sld,australian,budget_25,seed_0,gain_path_refined,gain_path_refined,1.0,1.0,-0.7473684210526317,12
sld,australian,budget_25,seed_1,histdistill_density,random,0.0,1.0,-0.33333333333333337,12
sld,australian,budget_25,seed_2,histdistill_density,random,0.0,0.0,-0.40350877192982465,12
sld,australian,budget_50,seed_0,gain_path_refined,histdistill_refined,0.0,1.0,-0.8105263157894738,12
sld,australian,budget_50,seed_1,gain_path_refined,histdistill_refined,0.0,0.0,-0.8245614035087719,12
