dataset,budget,seed,method,auroc,sld_inf_norm,sld_root_margin_satisfied,sld_root_agreement_direct,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_inf_raw
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_0,histdistill_refined,0.70166796875,1.3560443386666805,0.0,0.0,0.0,0.6792759032864347,1.3560443386666803
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_0,random,0.6382968750000001,3.434101859136905,0.0,0.0,0.0,0.6890463368794278,3.4341018591369052
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_1,gain_path_refined,0.6840390624999999,2.354943200588219,0.0,1.0,0.0,0.5743815101912926,2.354943200588219
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_1,herding,0.68680078125,2.803793290118488,0.0,0.0,0.0,0.4266301567898702,2.803793290118488
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_1,histdistill_density,0.6869531249999999,1.3370202756191063,0.0,0.0,0.0,0.4949855318477629,1.3370202756191065
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_1,histdistill_refined,0.685125,2.628813122798769,0.0,1.0,0.0,0.4858599490404767,2.628813122798769
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_1,random,0.62684765625,5.266748807092605,0.0,0.0,0.0,0.5610953581660937,5.266748807092605
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_2,gain_path_refined,0.67198828125,2.673699088694855,0.0,1.0,0.0,0.6917064402165698,2.673699088694855
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_2,herding,0.68680078125,2.8104271404804675,0.0,0.0,0.0,0.5367661917535391,2.8104271404804675
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_2,histdistill_density,0.687078125,1.609284765615456,0.0,1.0,0.0,0.6738237542363188,1.609284765615456
