dataset,method,budget,distill_train_rows,downstream_train_seconds,auroc_mean
adult,trajectory_refined,budget_50,100.0,0.11512668000004851,0.7986597506101807
adult,tree_region,budget_10,20.0,0.19484901999997722,0.36271088245957966
adult,tree_region,budget_100,200.0,0.24192593333348972,0.21628429990097917
adult,tree_region,budget_25,50.0,0.15836178666668274,0.22680444353502616
adult,tree_region,budget_50,100.0,0.20081679333331218,0.21497114777888673
agaricus_lepiota,craig_coreset,budget_25,50.0,0.15770888666641744,0.93289428528009
agaricus_lepiota,craig_coreset,budget_50,100.0,0.18675753333275982,0.9978278569322291
agaricus_lepiota,distribution_matching,budget_10,20.0,0.16420871333339165,0.7169472548551922
agaricus_lepiota,distribution_matching,budget_100,200.0,0.4335452600000887,0.9362381960232562
agaricus_lepiota,distribution_matching,budget_25,50.0,0.28556588666669996,0.8920701631497534
agaricus_lepiota,distribution_matching,budget_50,100.0,0.3631122933333851,0.9252757322415756
agaricus_lepiota,el2n_coreset,budget_25,50.0,0.14414777333392217,0.8610573686101525
agaricus_lepiota,el2n_coreset,budget_50,100.0,0.185508779999509,0.9870665249635929
agaricus_lepiota,full_data,budget_10,4887.0,1.4862551466666143,1.0
agaricus_lepiota,full_data,budget_100,4887.0,1.5721059733332974,1.0
agaricus_lepiota,full_data,budget_25,4887.0,1.5604459933333905,1.0
agaricus_lepiota,full_data,budget_50,4887.0,1.7318606600001052,1.0
agaricus_lepiota,gain_herding,budget_10,20.0,0.240673893332981,0.7742293134143899
agaricus_lepiota,gain_herding,budget_100,200.0,0.47162857999998475,0.9983713707457628
agaricus_lepiota,gain_herding,budget_25,50.0,0.1973947400052566,0.9476374937476538
agaricus_lepiota,gain_herding,budget_50,100.0,0.27525817333274366,0.9917528911754612
agaricus_lepiota,gain_path_herding,budget_10,20.0,0.26296752666700435,0.7718511071055839
agaricus_lepiota,gain_path_herding,budget_100,200.0,0.7525288733336007,0.9984211379119127
agaricus_lepiota,gain_path_herding,budget_25,50.0,0.22964244666703357,0.9416279952134957
agaricus_lepiota,gain_path_herding,budget_50,100.0,0.28065125333475105,0.9914601253790406
agaricus_lepiota,gain_path_refined,budget_10,20.0,0.17846580000470566,0.7723098104218182
agaricus_lepiota,gain_path_refined,budget_100,200.0,0.30282838799794265,0.9985828887500038
agaricus_lepiota,gain_path_refined,budget_200,400.0,0.4933345600016037,0.999270913531939
agaricus_lepiota,gain_path_refined,budget_25,50.0,0.2263793079993775,0.9465636501423572
agaricus_lepiota,gain_path_refined,budget_50,100.0,0.27682616399994003,0.9919726517093436
agaricus_lepiota,gain_path_safeguarded,budget_25,50.0,0.21770516000203013,0.9437092591082972
agaricus_lepiota,gain_path_safeguarded,budget_50,100.0,0.29416349999858843,0.9917759380532131
agaricus_lepiota,gain_weighted_coreset,budget_10,20.0,0.2639316266666962,0.7773756147930763
agaricus_lepiota,gain_weighted_coreset,budget_100,200.0,0.5442764399998851,0.9776624427476307
agaricus_lepiota,gain_weighted_coreset,budget_25,50.0,0.28519913333366276,0.9462099963064611
agaricus_lepiota,gain_weighted_coreset,budget_50,100.0,0.44649509333321474,0.9905644673504242
agaricus_lepiota,gaindistill,budget_10,20.0,0.18761882666664556,0.48269471340855274
agaricus_lepiota,gaindistill,budget_100,200.0,0.2674176666667942,0.38106849954761696
agaricus_lepiota,gaindistill,budget_25,50.0,0.19400341999983842,0.4751881742343958
