dataset,method,budget,root_agreement_mean,top5_overlap_mean,gain_rank_correlation_mean
agaricus_lepiota,herding,budget_50,0.0,0.32,0.4928040934462049
agaricus_lepiota,histdistill_density,budget_10,0.4,0.28,0.5023018855933143
agaricus_lepiota,histdistill_density,budget_100,0.6,0.36,0.6863655510279727
agaricus_lepiota,histdistill_density,budget_200,0.4,0.32,0.6738086408539021
agaricus_lepiota,histdistill_density,budget_25,0.4,0.36,0.566002418099129
agaricus_lepiota,histdistill_density,budget_50,0.2,0.32,0.5881098958953501
agaricus_lepiota,histdistill_density_mid,budget_25,0.6666666666666666,0.3333333333333333,0.4724283582142364
agaricus_lepiota,histdistill_density_mid,budget_50,0.3333333333333333,0.4666666666666666,0.502085718871498
agaricus_lepiota,histdistill_density_strong,budget_25,0.6666666666666666,0.3333333333333333,0.4724283582142364
agaricus_lepiota,histdistill_density_strong,budget_50,0.3333333333333333,0.4666666666666666,0.502085718871498
agaricus_lepiota,histdistill_density_weak,budget_25,0.6666666666666666,0.3333333333333333,0.47070259049813795
agaricus_lepiota,histdistill_density_weak,budget_50,0.3333333333333333,0.4666666666666666,0.5463795080336334
agaricus_lepiota,histdistill_density_xstrong,budget_25,0.6666666666666666,0.3333333333333333,0.4715040556564438
agaricus_lepiota,histdistill_density_xstrong,budget_50,0.3333333333333333,0.4666666666666666,0.5334924231666857
agaricus_lepiota,histdistill_greedy,budget_25,0.0,0.13333333333333333,0.22716015045797708
agaricus_lepiota,histdistill_greedy,budget_50,0.0,0.20000000000000004,0.2386425274002725
agaricus_lepiota,histdistill_importance,budget_25,0.3333333333333333,0.3333333333333333,0.41762937970105973
agaricus_lepiota,histdistill_importance,budget_50,0.3333333333333333,0.6,0.5650856535823102
agaricus_lepiota,histdistill_linear_coverage,budget_25,0.0,0.06666666666666667,0.14205161887377307
agaricus_lepiota,histdistill_linear_coverage,budget_50,0.0,0.0,0.09160261367511624
agaricus_lepiota,histdistill_no_refine,budget_25,0.0,0.13333333333333333,0.22716015045797708
agaricus_lepiota,histdistill_no_refine,budget_50,0.0,0.20000000000000004,0.2386425274002725
agaricus_lepiota,histdistill_no_weight_fit,budget_25,0.0,0.06666666666666667,0.17040638587980464
agaricus_lepiota,histdistill_no_weight_fit,budget_50,0.0,0.06666666666666667,0.15859793614523052
agaricus_lepiota,histdistill_refined,budget_10,0.2,0.32,0.4900897418901561
agaricus_lepiota,histdistill_refined,budget_100,0.6,0.36,0.6987524648376502
agaricus_lepiota,histdistill_refined,budget_200,0.4,0.24000000000000005,0.6904076951150533
agaricus_lepiota,histdistill_refined,budget_25,0.6,0.36,0.5693354323167625
agaricus_lepiota,histdistill_refined,budget_50,0.2,0.36,0.5848715040430903
agaricus_lepiota,histdistill_root_only,budget_25,0.0,0.06666666666666667,0.14205161887377307
agaricus_lepiota,histdistill_root_only,budget_50,0.0,0.0,0.09160261367511624
agaricus_lepiota,k_center,budget_10,0.0,0.3333333333333333,0.47336383154896905
agaricus_lepiota,k_center,budget_100,0.6666666666666666,0.39999999999999997,0.7117432512520394
agaricus_lepiota,k_center,budget_25,0.0,0.6666666666666666,0.608577086613478
agaricus_lepiota,k_center,budget_50,1.0,0.6,0.6096760031844518
agaricus_lepiota,mvs_coreset,budget_25,0.3333333333333333,0.26666666666666666,0.4389839121689456
agaricus_lepiota,mvs_coreset,budget_50,0.3333333333333333,0.4666666666666666,0.5749697904192815
agaricus_lepiota,random,budget_10,0.2,0.32,0.3643226680184826
agaricus_lepiota,random,budget_100,0.6,0.48,0.556941746304148
agaricus_lepiota,random,budget_200,0.6,0.52,0.4572366042370056
agaricus_lepiota,random,budget_25,0.2,0.36,0.5065697017510966
agaricus_lepiota,random,budget_50,0.0,0.36,0.46850457202422857
agaricus_lepiota,sketch_no_conf,budget_50,1.0,0.4,0.5149472983188091
agaricus_lepiota,sketch_no_gain_weight,budget_50,1.0,0.4,0.5149472983188091
agaricus_lepiota,sketch_no_grad,budget_50,0.0,0.6,0.5801076644341128
agaricus_lepiota,sketch_no_hess,budget_50,1.0,0.6,0.6196931750344553
agaricus_lepiota,sketch_no_raw,budget_50,1.0,0.6,0.68897800705018
agaricus_lepiota,sketch_occupancy_only,budget_50,0.0,0.4,0.4997320015347639
agaricus_lepiota,tree_region,budget_10,0.0,0.0,0.14344708902115047
agaricus_lepiota,tree_region,budget_100,0.0,0.20000000000000004,0.3684888122298786
agaricus_lepiota,tree_region,budget_25,0.0,0.0,0.1731195698089751
agaricus_lepiota,tree_region,budget_50,0.0,0.13333333333333333,0.31233079984072426
australian,ablation_full,budget_50,0.0,0.0,-0.07708805106169259
australian,ablation_no_child,budget_50,0.0,0.0,0.02258761085528273
australian,ablation_no_entropy_anneal,budget_50,0.0,0.2,-0.04096760016585501
australian,ablation_no_gain,budget_50,1.0,0.4,-0.21383910802816739
australian,ablation_no_hist,budget_50,0.0,0.2,-0.052283547650056036
australian,ablation_no_margin,budget_50,0.0,0.0,-0.22676272350543394
australian,ablation_no_marginal,budget_50,0.0,0.0,-0.18055029173132459
australian,ablation_no_newton,budget_50,0.0,0.0,-0.0752644577295871
australian,ablation_no_pairwise,budget_50,0.0,0.0,-0.10371428990865916
australian,craig_coreset,budget_25,0.3333333333333333,0.13333333333333333,0.10163324677592471
australian,craig_coreset,budget_50,0.0,0.13333333333333333,0.27502571000529535
australian,distribution_matching,budget_10,0.0,0.13333333333333333,0.05084920864213318
australian,distribution_matching,budget_100,0.3333333333333333,0.20000000000000004,0.28047750152903284
australian,distribution_matching,budget_25,0.0,0.06666666666666667,0.16429566108498897
australian,distribution_matching,budget_50,0.0,0.06666666666666667,0.26053188752244494
australian,el2n_coreset,budget_25,0.3333333333333333,0.20000000000000004,0.36855691773606747
australian,el2n_coreset,budget_50,0.0,0.13333333333333333,0.21345291513696965
australian,full_data,budget_10,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,full_data,budget_100,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,full_data,budget_25,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,full_data,budget_50,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,gain_herding,budget_10,0.6666666666666666,0.3333333333333333,0.6188192711179881
australian,gain_herding,budget_100,0.6666666666666666,0.3333333333333333,0.31467671554068805
australian,gain_herding,budget_25,0.3333333333333333,0.3333333333333333,0.2518908766025329
