dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_25,lightgbm,0.49400390624999996,0.008897593792310851,0.4822916666666666,0.014950433333372834
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_25,mlp,0.47817708333333336,0.016538636872573988,0.4875,0.39734033333328017
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_25,random_forest,0.4873177083333333,0.018126697680012026,0.48854166666666665,0.6226010333333155
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_25,xgboost,0.4959375,0.02085381480201833,0.4770833333333333,0.02846420000029563
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_50,catboost,0.4531119791666667,0.010030401429662241,0.46875,0.41697496666680917
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_50,lightgbm,0.4444466145833334,0.029883503957822622,0.471875,0.024366099999497237
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_50,mlp,0.4857877604166667,0.0211667693528616,0.5020833333333333,0.4474260999998781
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_50,random_forest,0.4510807291666667,0.016825481333467538,0.46458333333333335,0.567662499999642
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_50,xgboost,0.46661458333333333,0.028437643085720613,0.46979166666666666,0.03204180000041864
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_25,catboost,0.5058203125,0.02040151020518685,0.5041666666666668,0.09244163333399531
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_25,lightgbm,0.5044270833333333,0.01971183443592772,0.5031249999999999,0.013177000000723638
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_25,mlp,0.5294856770833333,0.027581114926595613,0.5260416666666666,0.2428499333327636
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_25,random_forest,0.5136588541666667,0.03105211598367819,0.5260416666666666,0.5069994666676697
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_25,xgboost,0.5261458333333333,0.04401292252789647,0.5302083333333334,0.01890816666612712
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_50,catboost,0.49880208333333337,0.02573475724202553,0.4979166666666666,0.17732949999966272
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_50,lightgbm,0.48510416666666667,0.010076333214427606,0.4791666666666667,0.019596366665306657
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_50,mlp,0.5573828125,0.024102195595412705,0.5458333333333334,0.41383136666263454
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_50,random_forest,0.5330989583333333,0.020916841098417682,0.5229166666666667,0.5551594666661307
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,el2n_coreset,budget_50,xgboost,0.5460416666666666,0.04324776833717363,0.5322916666666667,0.025524066666548606
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_10,catboost,0.612109375,0.0,0.6125,3.624723966666655
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_10,lightgbm,0.54453125,0.0,0.5125,0.055458699999993165
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_10,mlp,0.62376953125,0.0,0.603125,3.9769332999997764
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_10,random_forest,0.57640625,0.0,0.55625,0.8410313666666601
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_10,xgboost,0.573203125,0.0,0.540625,0.05024426666659565
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_100,catboost,0.612109375,0.0,0.6125,4.339770366666623
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_100,lightgbm,0.54453125,0.0,0.5125,0.05979996666671165
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_100,mlp,0.62376953125,0.0,0.603125,3.8026354666665916
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_100,random_forest,0.57640625,0.0,0.55625,0.9599991333334401
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_100,xgboost,0.573203125,0.0,0.540625,0.060111833333394316
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_25,catboost,0.612109375,0.0,0.6125,4.978678733333254
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_25,lightgbm,0.54453125,0.0,0.5125,0.05536323333338563
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_25,mlp,0.62376953125,0.0,0.603125,3.974265166666555
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_25,random_forest,0.57640625,0.0,0.55625,1.1080033999999916
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_25,xgboost,0.573203125,0.0,0.540625,0.055606433333499204
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_50,catboost,0.612109375,0.0,0.6125,7.396192333333602
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_50,lightgbm,0.54453125,0.0,0.5125,0.06273396666711051
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_50,mlp,0.62376953125,0.0,0.603125,4.673536300000403
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_50,random_forest,0.57640625,0.0,0.55625,1.0176549666669719
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,full_data,budget_50,xgboost,0.573203125,0.0,0.540625,0.05861793333345607
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_10,catboost,0.5,0.0,0.5,2.2000850000003993
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_10,lightgbm,0.5,0.0,0.5,0.01202263333289011
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_10,mlp,0.49005208333333333,0.0055165784262124614,0.4864583333333334,0.2595081000005545
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_10,random_forest,0.4932682291666666,0.028943186212950896,0.5,0.6738936000001559
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_10,xgboost,0.48984374999999997,0.023515908882734193,0.4947916666666667,0.04042776666695621
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_100,catboost,0.6199088541666666,0.016246447052492015,0.5947916666666666,2.2195964333332086
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_100,lightgbm,0.5881250000000001,0.0574074173976293,0.56875,0.03774526666650976
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_100,mlp,0.5752083333333333,0.023938567480549688,0.5572916666666666,1.0619223999995786
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_100,random_forest,0.5789583333333334,0.005539764001182933,0.5552083333333333,0.8344310666664873
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_100,xgboost,0.5908854166666666,0.020651074506068907,0.5656249999999999,0.04887850000037967
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_25,catboost,0.49890624999999994,0.0441685648576228,0.4979166666666666,0.16883013332941724
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_25,lightgbm,0.49890624999999994,0.044868633530589536,0.5020833333333333,0.024372500003664754
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_25,mlp,0.4992578125,0.02446070544444383,0.5020833333333333,0.2711172333365539
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_25,random_forest,0.5119661458333333,0.01743405952375594,0.5135416666666667,0.5541967999985596
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_25,xgboost,0.5274869791666666,0.016322065138459442,0.5208333333333334,0.03326573332985087
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_50,catboost,0.4783072916666667,0.006653289088609825,0.4937500000000001,0.5035330333339516
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_50,lightgbm,0.4821484375,0.0044368191048915675,0.4947916666666667,0.02270926667066912
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_50,mlp,0.5564322916666667,0.03924522367601193,0.5291666666666667,0.4686303000053158
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_50,random_forest,0.5417057291666666,0.03350215377336849,0.5281250000000001,0.5933326666660529
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_herding,budget_50,xgboost,0.5785546875,0.05251521298837928,0.5614583333333333,0.03922726666981665
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,gain_path_herding,budget_10,catboost,0.5,0.0,0.5,1.5451550333333823
